meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,5.9245853e-09,0.0,0.0,0.0,0.0,0.0,1.11490985e-08,0.0,0.0,0.0,0.0,0.0
10000,1.681101e-08,1.4799299e-10,0.0,0.0,1.8294259e-10,0.0,2.1128717e-08,2.224823e-09,0.0,0.0,2.75023e-09,0.0
20000,2.1053935e-08,5.97234e-10,4.3218037e-10,6.337424e-11,8.416335e-10,0.0,2.6246653e-08,4.439261e-09,4.5635464e-09,6.691912e-10,5.581447e-09,0.0
30000,2.5204809e-08,9.585401e-10,6.88023e-10,1.008906e-10,1.3400078e-09,5.2040017e-10,2.9892462e-08,5.616974e-09,5.742691e-09,8.42099e-10,6.995585e-09,5.3325144e-09
40000,2.822391e-08,9.880907e-10,2.3833505e-10,3.494903e-11,1.27841e-09,8.11212e-10,3.2392563e-08,5.676031e-09,3.395748e-09,4.97947e-10,7.0534503e-09,6.640057e-09
50000,3.1433814e-08,1.2215208e-09,1.2595939e-09,1.8470472e-10,1.8074875e-09,5.480526e-10,3.4205954e-08,6.2966454e-09,7.723679e-09,1.1325879e-09,7.9239735e-09,5.3577636e-09
60000,3.4001047e-08,1.8188716e-09,7.884377e-10,1.1561518e-10,2.433369e-09,1.4951389e-09,3.552145e-08,7.608864e-09,6.141044e-09,9.0051283e-10,9.460227e-09,8.944738e-09
70000,3.7449958e-08,1.7610544e-09,5.6535315e-10,8.290235e-11,2.3082412e-09,1.2913018e-09,3.6580985e-08,7.4944015e-09,5.2122906e-09,7.64322e-10,9.299909e-09,8.313226e-09
80000,3.983736e-08,1.6191024e-09,1.4644702e-09,2.1474705e-10,2.3515838e-09,2.010567e-09,3.7066616e-08,7.1950153e-09,8.3101215e-09,1.2185831e-09,9.0362855e-09,1.0319557e-08
90000,4.5811003e-08,1.384461e-09,1.3337003e-09,1.9537348e-10,2.0252882e-09,3.0393241e-09,3.708928e-08,6.6869292e-09,7.946429e-09,1.164072e-09,8.395327e-09,1.255138e-08
100000,2.5407768e-08,5.1343524e-10,1.814257e-10,2.6602998e-11,6.6346983e-10,2.4968327e-09,3.6045314e-08,4.108268e-09,2.9644103e-09,4.3469647e-10,5.0804e-09,1.1419586e-08
110000,4.2028667e-08,9.706491e-13,1.1478933e-14,8.004577e-18,2.8421267e-16,2.0592563e-09,3.8744602e-08,8.871527e-12,1.1250302e-13,8.406632e-17,3.5948858e-15,1.0435586e-08
