mcsteps,1,2,3,4,5,6,7,8,9,10
0,88.0,80.0,171.0,20.0,6.0,0.0,23.0,0.0,0.0,12.0
10000,88.0,33.0,61.0,8.0,4.0,0.0,22.0,2.0,0.0,9.0
20000,88.0,25.0,47.0,8.0,6.0,0.0,26.0,3.0,2.0,9.0
30000,88.0,22.0,37.0,8.0,6.0,0.0,31.0,1.0,3.0,9.0
40000,88.0,18.0,30.0,8.0,7.0,0.0,30.0,5.0,1.0,8.0
50000,88.0,12.0,24.0,8.0,10.0,0.0,28.0,3.0,5.0,8.0
60000,88.0,12.0,15.0,8.0,9.0,0.0,28.0,2.0,4.0,8.0
70000,88.0,9.0,14.0,8.0,8.0,0.0,21.0,5.0,7.0,8.0
80000,88.0,3.0,6.0,8.0,6.0,0.0,16.0,4.0,8.0,8.0
90000,88.0,1.0,2.0,8.0,4.0,0.0,14.0,1.0,12.0,8.0
100000,88.0,11.0,86.0,17.0,0.0,0.0,27.0,3.0,7.0,19.0
110000,88.0,8.0,36.0,6.0,0.0,0.0,9.0,0.0,0.0,10.0
120000,88.0,7.0,25.0,6.0,1.0,0.0,14.0,1.0,0.0,10.0
130000,88.0,5.0,20.0,6.0,1.0,0.0,14.0,2.0,1.0,10.0
140000,88.0,3.0,15.0,6.0,3.0,0.0,13.0,3.0,4.0,10.0
150000,88.0,3.0,12.0,5.0,3.0,0.0,9.0,3.0,8.0,11.0
160000,88.0,3.0,8.0,5.0,2.0,0.0,10.0,1.0,9.0,11.0
170000,88.0,2.0,5.0,5.0,2.0,0.0,11.0,0.0,10.0,11.0
180000,88.0,2.0,5.0,5.0,2.0,0.0,10.0,1.0,7.0,11.0
190000,88.0,2.0,5.0,5.0,0.0,0.0,7.0,2.0,4.0,11.0
200000,88.0,11.0,96.0,15.0,1.0,0.0,14.0,1.0,4.0,20.0
210000,88.0,3.0,36.0,5.0,1.0,0.0,10.0,1.0,0.0,11.0
220000,88.0,3.0,30.0,5.0,1.0,0.0,12.0,0.0,2.0,11.0
230000,88.0,2.0,26.0,4.0,1.0,0.0,11.0,2.0,3.0,9.0
240000,88.0,1.0,19.0,4.0,1.0,0.0,11.0,1.0,5.0,9.0
