mcsteps,1,2,3,4,5,6,7,8,9,10
0,79.0,76.0,142.0,18.0,0.0,0.0,23.0,0.0,0.0,11.0
10000,79.0,32.0,55.0,11.0,0.0,0.0,21.0,0.0,0.0,5.0
20000,79.0,26.0,48.0,11.0,0.0,0.0,20.0,1.0,0.0,5.0
30000,79.0,24.0,37.0,11.0,1.0,0.0,17.0,5.0,3.0,4.0
40000,79.0,21.0,29.0,11.0,2.0,0.0,17.0,1.0,5.0,4.0
50000,79.0,20.0,25.0,11.0,2.0,0.0,20.0,0.0,1.0,4.0
60000,79.0,14.0,17.0,11.0,1.0,0.0,21.0,1.0,0.0,4.0
70000,79.0,11.0,12.0,11.0,1.0,0.0,17.0,4.0,1.0,4.0
80000,79.0,6.0,10.0,10.0,1.0,0.0,12.0,4.0,5.0,4.0
90000,79.0,4.0,4.0,10.0,0.0,0.0,11.0,2.0,8.0,4.0
100000,79.0,13.0,91.0,20.0,1.0,0.0,24.0,0.0,6.0,14.0
110000,79.0,5.0,51.0,9.0,0.0,0.0,7.0,0.0,0.0,5.0
120000,79.0,4.0,39.0,9.0,0.0,0.0,14.0,1.0,0.0,5.0
130000,79.0,4.0,30.0,8.0,0.0,0.0,13.0,0.0,2.0,5.0
140000,79.0,3.0,26.0,7.0,1.0,0.0,11.0,3.0,2.0,5.0
150000,79.0,2.0,21.0,7.0,2.0,0.0,13.0,2.0,5.0,5.0
160000,79.0,2.0,17.0,6.0,2.0,0.0,13.0,0.0,5.0,5.0
170000,79.0,1.0,14.0,6.0,1.0,0.0,13.0,2.0,5.0,4.0
180000,79.0,0.0,10.0,6.0,1.0,0.0,15.0,0.0,6.0,4.0
190000,79.0,0.0,7.0,6.0,0.0,0.0,13.0,0.0,4.0,4.0
200000,79.0,10.0,98.0,16.0,0.0,0.0,20.0,2.0,2.0,14.0
210000,79.0,6.0,43.0,8.0,0.0,0.0,10.0,0.0,0.0,8.0
220000,79.0,3.0,33.0,8.0,0.0,0.0,16.0,1.0,1.0,8.0
230000,79.0,3.0,26.0,8.0,0.0,0.0,19.0,0.0,2.0,8.0
240000,79.0,3.0,19.0,8.0,0.0,0.0,21.0,0.0,2.0,7.0
250000,79.0,3.0,13.0,8.0,0.0,0.0,23.0,1.0,2.0,7.0
260000,79.0,1.0,8.0,8.0,0.0,0.0,21.0,4.0,3.0,7.0
270000,79.0,0.0,5.0,8.0,0.0,0.0,19.0,2.0,8.0,7.0
280000,79.0,0.0,3.0,8.0,0.0,0.0,16.0,5.0,9.0,6.0
290000,79.0,0.0,3.0,7.0,0.0,0.0,12.0,4.0,12.0,5.0
300000,79.0,10.0,89.0,17.0,0.0,0.0,24.0,2.0,15.0,15.0
310000,79.0,4.0,32.0,6.0,0.0,0.0,14.0,0.0,1.0,8.0
320000,79.0,4.0,22.0,5.0,0.0,0.0,19.0,1.0,1.0,9.0
330000,79.0,4.0,21.0,5.0,0.0,0.0,17.0,2.0,0.0,9.0
340000,79.0,4.0,17.0,5.0,0.0,0.0,17.0,2.0,2.0,9.0
350000,79.0,3.0,13.0,5.0,1.0,0.0,15.0,2.0,4.0,9.0
360000,79.0,3.0,8.0,5.0,1.0,0.0,10.0,3.0,6.0,8.0
370000,79.0,3.0,7.0,5.0,1.0,0.0,7.0,3.0,9.0,8.0
380000,79.0,2.0,5.0,5.0,0.0,0.0,8.0,0.0,10.0,8.0
390000,79.0,2.0,4.0,5.0,0.0,0.0,8.0,0.0,10.0,8.0
400000,79.0,11.0,94.0,15.0,1.0,0.0,18.0,0.0,9.0,17.0
410000,79.0,5.0,41.0,7.0,0.0,0.0,7.0,0.0,2.0,11.0
