mcsteps,1,2,3,4,5,6,7,8,9,10
0,109.0,111.0,192.0,18.0,0.0,0.0,23.0,0.0,0.0,12.0
10000,109.0,47.0,73.0,8.0,0.0,0.0,15.0,2.0,0.0,5.0
20000,109.0,39.0,62.0,8.0,1.0,0.0,20.0,1.0,2.0,5.0
30000,109.0,36.0,51.0,8.0,1.0,0.0,21.0,2.0,1.0,5.0
40000,109.0,28.0,42.0,8.0,1.0,0.0,22.0,2.0,2.0,5.0
50000,109.0,23.0,26.0,8.0,1.0,0.0,22.0,3.0,2.0,5.0
60000,109.0,13.0,20.0,8.0,0.0,0.0,18.0,3.0,3.0,4.0
70000,109.0,12.0,13.0,8.0,0.0,0.0,18.0,1.0,6.0,4.0
80000,109.0,8.0,6.0,8.0,0.0,0.0,17.0,3.0,4.0,4.0
90000,109.0,4.0,5.0,8.0,0.0,0.0,14.0,3.0,4.0,4.0
100000,109.0,14.0,92.0,18.0,0.0,0.0,26.0,1.0,6.0,14.0
110000,109.0,7.0,30.0,7.0,0.0,0.0,8.0,1.0,0.0,5.0
120000,109.0,6.0,27.0,7.0,0.0,0.0,9.0,0.0,1.0,5.0
130000,109.0,5.0,21.0,7.0,0.0,0.0,12.0,1.0,1.0,5.0
140000,109.0,4.0,14.0,6.0,0.0,0.0,13.0,1.0,2.0,5.0
150000,109.0,3.0,13.0,6.0,0.0,0.0,14.0,0.0,2.0,4.0
160000,109.0,2.0,5.0,6.0,0.0,0.0,16.0,1.0,3.0,4.0
170000,109.0,2.0,3.0,6.0,0.0,0.0,15.0,2.0,4.0,3.0
180000,109.0,0.0,3.0,6.0,0.0,0.0,12.0,2.0,5.0,3.0
190000,109.0,0.0,3.0,6.0,0.0,0.0,10.0,1.0,7.0,3.0
200000,109.0,10.0,91.0,15.0,0.0,0.0,20.0,2.0,6.0,13.0
210000,109.0,4.0,41.0,8.0,0.0,0.0,13.0,0.0,0.0,6.0
220000,109.0,2.0,34.0,8.0,0.0,0.0,17.0,1.0,0.0,6.0
230000,109.0,2.0,27.0,8.0,0.0,0.0,19.0,1.0,2.0,6.0
240000,109.0,2.0,21.0,8.0,0.0,0.0,21.0,2.0,3.0,6.0
250000,109.0,2.0,16.0,7.0,0.0,0.0,22.0,1.0,5.0,6.0
260000,109.0,2.0,12.0,6.0,0.0,0.0,23.0,1.0,6.0,5.0
270000,109.0,2.0,8.0,6.0,0.0,0.0,19.0,5.0,7.0,5.0
280000,109.0,2.0,7.0,6.0,0.0,0.0,16.0,2.0,13.0,5.0
290000,109.0,0.0,7.0,6.0,0.0,0.0,14.0,0.0,13.0,5.0
300000,109.0,10.0,97.0,16.0,0.0,0.0,23.0,0.0,13.0,15.0
310000,109.0,3.0,38.0,6.0,0.0,0.0,5.0,0.0,3.0,6.0
320000,109.0,2.0,32.0,6.0,0.0,0.0,7.0,0.0,1.0,6.0
330000,109.0,2.0,22.0,6.0,0.0,0.0,9.0,3.0,0.0,6.0
340000,109.0,2.0,19.0,6.0,0.0,0.0,11.0,0.0,3.0,5.0
350000,109.0,2.0,13.0,6.0,0.0,0.0,9.0,1.0,3.0,5.0
360000,109.0,2.0,10.0,6.0,0.0,0.0,12.0,0.0,4.0,5.0
370000,109.0,1.0,9.0,6.0,0.0,0.0,11.0,0.0,4.0,5.0
380000,109.0,1.0,6.0,6.0,0.0,0.0,12.0,0.0,4.0,5.0
390000,109.0,0.0,4.0,6.0,0.0,0.0,12.0,1.0,4.0,5.0
400000,109.0,9.0,89.0,15.0,1.0,0.0,23.0,3.0,4.0,16.0
410000,109.0,1.0,34.0,7.0,1.0,0.0,10.0,2.0,3.0,11.0
420000,109.0,1.0,29.0,6.0,1.0,0.0,7.0,4.0,5.0,11.0
430000,109.0,1.0,24.0,6.0,1.0,0.0,7.0,0.0,9.0,11.0
440000,109.0,0.0,19.0,6.0,2.0,0.0,8.0,0.0,6.0,11.0
450000,109.0,0.0,16.0,6.0,0.0,0.0,9.0,1.0,6.0,10.0
460000,109.0,0.0,13.0,5.0,0.0,0.0,9.0,2.0,7.0,10.0
470000,109.0,0.0,11.0,5.0,0.0,0.0,8.0,0.0,10.0,10.0
480000,109.0,0.0,6.0,5.0,0.0,0.0,6.0,1.0,10.0,10.0
490000,109.0,0.0,3.0,5.0,0.0,0.0,6.0,1.0,10.0,10.0
500000,109.0,10.0,94.0,15.0,0.0,0.0,14.0,0.0,12.0,20.0
