meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,5.605713e-09,0.0,0.0,0.0,0.0,0.0,1.0094023e-08,0.0,0.0,0.0,0.0,0.0
10000,1.6199804e-08,0.0,0.0,0.0,0.0,0.0,1.896497e-08,0.0,0.0,0.0,0.0,0.0
20000,2.0171523e-08,0.0,2.788738e-10,4.8599718e-11,9.016018e-11,0.0,2.3568537e-08,0.0,3.1551353e-09,5.498433e-10,1.0200459e-09,0.0
30000,2.4171134e-08,1.3824861e-10,1.4804058e-10,2.5799833e-11,2.1875979e-10,2.474534e-10,2.6777421e-08,2.1506443e-09,2.302971e-09,4.0135117e-10,2.7578662e-09,2.7163571e-09
40000,2.7292707e-08,1.4480371e-10,3.0860597e-10,5.399985e-11,2.792398e-10,1.2959311e-10,2.8978231e-08,2.2008224e-09,3.3094298e-09,5.7908384e-10,2.9190919e-09,1.9696438e-09
50000,3.062668e-08,1.541028e-10,3.2923403e-10,5.7492393e-11,2.971856e-10,2.7982805e-10,3.0473597e-08,2.2700755e-09,3.4214693e-09,5.974785e-10,3.0105298e-09,2.88703e-09
60000,3.5394116e-08,1.7227902e-10,5.5078053e-10,9.636913e-11,3.918537e-10,3.1257774e-10,3.1429316e-08,2.399569e-09,4.405939e-09,7.709517e-10,3.2818452e-09,3.0293446e-09
70000,4.004845e-08,1.4431533e-16,6.0680655e-10,1.06169434e-10,1.9708193e-10,5.184921e-10,3.1611943e-08,1.8737527e-15,4.6208686e-09,8.085605e-10,1.5009309e-09,3.899564e-09
80000,4.2328406e-08,1.2701634e-12,2.0939322e-10,3.6631715e-11,6.799961e-11,1.0657701e-09,3.1866016e-08,1.65539e-11,2.7295441e-09,4.776161e-10,8.8659846e-10,5.5448455e-09
90000,4.6508895e-08,1.4372093e-15,6.798358e-10,1.1893703e-10,2.207817e-10,7.716506e-10,3.1232574e-08,1.6646572e-14,4.885738e-09,8.549091e-10,1.5869679e-09,4.7229767e-09
100000,2.6664367e-08,1.6021277e-15,3.8224818e-10,6.6875575e-11,1.2414059e-10,4.345917e-10,3.3207108e-08,2.3710534e-14,3.6790724e-09,6.437649e-10,1.1950205e-09,3.5624235e-09
110000,4.4379288e-08,3.919782e-15,1.1888487e-13,6.832847e-16,1.0360014e-16,5.456939e-10,3.3075313e-08,5.0285283e-14,1.5380791e-12,8.878203e-15,1.3466833e-15,3.9788524e-09
120000,4.5837393e-08,6.118053e-15,4.0837897e-10,7.397838e-11,1.3939748e-10,1.305469e-11,3.3107938e-08,7.765559e-14,3.7026175e-09,6.700324e-10,1.2623125e-09,1.6703718e-10
