mcsteps,1,2,3,4,5,6,7,8,9,10
0,96.0,103.0,178.0,17.0,1.0,0.0,29.0,0.0,0.0,11.0
10000,96.0,37.0,69.0,10.0,2.0,0.0,22.0,0.0,0.0,8.0
20000,96.0,32.0,55.0,10.0,3.0,0.0,25.0,2.0,1.0,7.0
30000,96.0,28.0,41.0,10.0,3.0,0.0,22.0,4.0,2.0,7.0
40000,96.0,23.0,31.0,10.0,3.0,0.0,22.0,5.0,4.0,7.0
50000,96.0,17.0,23.0,10.0,1.0,0.0,22.0,4.0,5.0,7.0
60000,96.0,12.0,13.0,9.0,1.0,0.0,23.0,0.0,4.0,7.0
70000,96.0,10.0,9.0,9.0,1.0,0.0,21.0,4.0,4.0,7.0
80000,96.0,6.0,5.0,9.0,0.0,0.0,21.0,1.0,4.0,7.0
90000,96.0,2.0,3.0,9.0,0.0,0.0,16.0,5.0,5.0,7.0
100000,96.0,12.0,91.0,19.0,0.0,0.0,25.0,3.0,5.0,17.0
110000,96.0,5.0,39.0,8.0,1.0,0.0,12.0,0.0,0.0,7.0
120000,96.0,4.0,30.0,8.0,2.0,0.0,18.0,0.0,0.0,7.0
130000,96.0,3.0,24.0,7.0,3.0,0.0,18.0,2.0,0.0,7.0
140000,96.0,2.0,22.0,7.0,2.0,0.0,20.0,0.0,2.0,7.0
150000,96.0,1.0,15.0,7.0,2.0,0.0,20.0,2.0,3.0,7.0
160000,96.0,0.0,13.0,7.0,0.0,0.0,18.0,1.0,6.0,7.0
170000,96.0,0.0,8.0,7.0,0.0,0.0,18.0,3.0,7.0,7.0
180000,96.0,0.0,7.0,7.0,0.0,0.0,13.0,5.0,8.0,7.0
190000,96.0,0.0,7.0,7.0,0.0,0.0,9.0,4.0,12.0,6.0
200000,96.0,10.0,90.0,17.0,0.0,0.0,25.0,0.0,13.0,16.0
210000,96.0,6.0,36.0,10.0,0.0,0.0,14.0,0.0,0.0,10.0
220000,96.0,6.0,29.0,10.0,0.0,0.0,16.0,2.0,0.0,10.0
230000,96.0,4.0,23.0,8.0,0.0,0.0,15.0,2.0,2.0,9.0
240000,96.0,3.0,14.0,7.0,0.0,0.0,16.0,2.0,5.0,9.0
250000,96.0,1.0,11.0,7.0,1.0,0.0,16.0,1.0,7.0,9.0
260000,96.0,1.0,10.0,6.0,0.0,0.0,12.0,2.0,9.0,9.0
270000,96.0,1.0,8.0,6.0,0.0,0.0,10.0,2.0,11.0,9.0
280000,96.0,1.0,5.0,5.0,0.0,0.0,9.0,0.0,13.0,8.0
