mcsteps,1,2,3,4,5,6,7,8,9,10
0,93.0,91.0,170.0,21.0,0.0,0.0,18.0,0.0,0.0,12.0
10000,93.0,33.0,62.0,11.0,0.0,0.0,20.0,1.0,0.0,3.0
20000,93.0,25.0,44.0,11.0,1.0,0.0,22.0,4.0,1.0,3.0
30000,93.0,23.0,33.0,11.0,2.0,0.0,22.0,3.0,4.0,3.0
40000,93.0,18.0,26.0,11.0,2.0,0.0,21.0,1.0,4.0,3.0
50000,93.0,14.0,21.0,10.0,2.0,0.0,17.0,3.0,1.0,3.0
60000,93.0,12.0,18.0,10.0,1.0,0.0,18.0,0.0,3.0,2.0
70000,93.0,11.0,15.0,10.0,1.0,0.0,16.0,3.0,3.0,2.0
80000,93.0,6.0,8.0,10.0,0.0,0.0,17.0,1.0,4.0,2.0
90000,93.0,2.0,6.0,10.0,0.0,0.0,14.0,2.0,6.0,2.0
100000,93.0,12.0,94.0,20.0,0.0,0.0,22.0,3.0,5.0,12.0
110000,93.0,8.0,42.0,12.0,0.0,0.0,6.0,4.0,0.0,5.0
120000,93.0,6.0,36.0,12.0,0.0,0.0,10.0,1.0,4.0,5.0
130000,93.0,4.0,23.0,11.0,0.0,0.0,15.0,2.0,5.0,5.0
140000,93.0,4.0,20.0,11.0,0.0,0.0,15.0,1.0,8.0,5.0
150000,93.0,3.0,14.0,11.0,0.0,0.0,16.0,2.0,5.0,5.0
160000,93.0,2.0,12.0,11.0,0.0,0.0,15.0,2.0,6.0,5.0
170000,93.0,1.0,9.0,11.0,0.0,0.0,15.0,0.0,8.0,5.0
180000,93.0,1.0,7.0,11.0,0.0,0.0,14.0,1.0,6.0,5.0
190000,93.0,1.0,4.0,10.0,0.0,0.0,14.0,0.0,6.0,5.0
200000,93.0,11.0,94.0,20.0,0.0,0.0,22.0,2.0,5.0,15.0
210000,93.0,4.0,37.0,12.0,0.0,0.0,8.0,0.0,0.0,7.0
220000,93.0,3.0,33.0,12.0,0.0,0.0,10.0,1.0,0.0,7.0
230000,93.0,3.0,28.0,12.0,0.0,0.0,12.0,1.0,1.0,7.0
240000,93.0,2.0,22.0,12.0,0.0,0.0,16.0,0.0,2.0,7.0
250000,93.0,1.0,17.0,12.0,0.0,0.0,16.0,2.0,2.0,7.0
260000,93.0,1.0,14.0,12.0,0.0,0.0,15.0,1.0,4.0,7.0
270000,93.0,1.0,9.0,12.0,0.0,0.0,15.0,2.0,5.0,7.0
280000,93.0,0.0,7.0,11.0,0.0,0.0,14.0,1.0,7.0,8.0
290000,93.0,0.0,3.0,11.0,0.0,0.0,14.0,0.0,7.0,8.0
300000,93.0,10.0,85.0,20.0,0.0,0.0,30.0,1.0,6.0,16.0
310000,93.0,6.0,23.0,6.0,0.0,0.0,13.0,0.0,2.0,7.0
320000,93.0,5.0,21.0,6.0,0.0,0.0,11.0,2.0,2.0,7.0
330000,93.0,5.0,14.0,6.0,0.0,0.0,15.0,1.0,2.0,6.0
340000,93.0,4.0,11.0,6.0,0.0,0.0,15.0,2.0,3.0,6.0
350000,93.0,4.0,8.0,6.0,0.0,0.0,15.0,0.0,5.0,6.0
360000,93.0,3.0,5.0,5.0,0.0,0.0,14.0,1.0,5.0,6.0
370000,93.0,1.0,5.0,4.0,0.0,0.0,12.0,1.0,5.0,5.0
380000,93.0,1.0,4.0,4.0,0.0,0.0,12.0,0.0,6.0,5.0
