meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,3.3615302e-09,0.0,0.0,0.0,0.0,0.0,7.3594597e-09,0.0,0.0,0.0,0.0,0.0
10000,1.0312226e-08,0.0,0.0,0.0,0.0,0.0,1.4754261e-08,0.0,0.0,0.0,0.0,0.0
20000,1.2997103e-08,0.0,0.0,0.0,0.0,0.0,1.8368702e-08,0.0,0.0,0.0,0.0,0.0
30000,1.5414559e-08,0.0,0.0,0.0,0.0,0.0,2.1009356e-08,0.0,0.0,0.0,0.0,0.0
40000,1.7642828e-08,1.759624e-10,8.012441e-10,1.7060056e-10,4.5386292e-10,0.0,2.29549e-08,2.4445477e-09,5.522194e-09,1.1757832e-09,3.3875722e-09,0.0
50000,1.9878017e-08,9.3101765e-10,8.5879204e-10,1.8285364e-10,1.404206e-09,1.1826985e-09,2.4468086e-08,5.5238076e-09,5.7127423e-09,1.2163547e-09,6.97574e-09,7.867543e-09
60000,2.2626358e-08,6.1080946e-10,4.7103516e-10,1.0029245e-10,8.959974e-10,1.9437685e-09,2.5675112e-08,4.488506e-09,4.2523807e-09,9.0541363e-10,5.6737917e-09,1.0006304e-08
70000,2.6787195e-08,4.698549e-10,2.7175062e-10,5.786103e-11,6.6212424e-10,1.1240698e-09,2.659548e-08,3.945078e-09,3.2382819e-09,6.8949374e-10,4.9625584e-09,7.679026e-09
80000,2.876737e-08,7.4208656e-10,5.714756e-10,1.2167833e-10,1.087056e-09,1.5685149e-09,2.707696e-08,4.934039e-09,4.6777293e-09,9.959801e-10,6.2328707e-09,9.009933e-09
90000,3.1272926e-08,7.9785106e-10,9.180558e-10,1.9545246e-10,1.2557285e-09,8.4603596e-10,2.73575e-08,5.129526e-09,5.901647e-09,1.2565792e-09,6.5085732e-09,6.686686e-09
100000,1.6208846e-08,4.1469547e-10,3.659436e-18,7.1528984e-23,5.006171e-10,8.5994656e-10,2.5329872e-08,3.686159e-09,3.267355e-17,6.6649204e-22,4.531087e-09,6.7284165e-09
110000,2.8697825e-08,5.8254826e-14,5.7341504e-18,1.3821257e-22,3.87864e-21,1.1273242e-09,2.8241393e-08,3.3191969e-13,5.391732e-17,1.3444981e-21,2.2408572e-20,7.668644e-09
120000,3.0249236e-08,2.4708627e-10,1.5183918e-17,4.3593287e-22,3.0535272e-10,1.2391401e-12,2.8457103e-08,2.8700808e-09,1.07612856e-16,3.1090444e-21,3.5478782e-09,1.0706597e-11
130000,3.1377983e-08,2.5456595e-10,1.6103159e-14,2.1293924e-17,3.146058e-10,1.8445178e-12,2.8664138e-08,2.9129157e-09,1.8411593e-13,2.4371417e-16,3.6008283e-09,1.4650755e-11
140000,3.2701603e-08,2.6258137e-10,3.0359693e-10,6.464162e-11,4.152797e-10,1.5197653e-12,2.8645701e-08,2.9577216e-09,3.4213576e-09,7.2847395e-10,3.7890713e-09,1.6269283e-11
150000,3.3088586e-08,2.646307e-10,6.1198074e-10,1.3030123e-10,5.1010735e-10,8.4167423e-10,2.8875258e-08,2.9692522e-09,4.838077e-09,1.0301217e-09,3.9304373e-09,6.6393584e-09
160000,3.4640156e-08,2.8127078e-10,1.5942645e-09,3.3916184e-10,8.169705e-10,2.2071793e-09,2.8821198e-08,3.0288942e-09,7.711708e-09,1.6406458e-09,4.360067e-09,1.066381e-08
170000,3.5779745e-08,2.8247985e-10,3.2659092e-10,6.953053e-11,4.466874e-10,4.4968007e-09,2.8696595e-08,3.0666125e-09,3.5473189e-09,7.552945e-10,3.927959e-09,1.4837583e-08
180000,3.7144716e-08,4.5063155e-12,3.3844397e-10,7.195357e-11,1.01116386e-10,4.6444555e-09,2.8587015e-08,4.5820153e-11,3.6079104e-09,7.682038e-10,1.0795759e-09,1.5023751e-08
190000,3.8996742e-08,4.526441e-12,1.3752997e-16,5.5032726e-21,3.2393803e-15,4.3735797e-09,2.8209564e-08,4.2150013e-11,1.3506771e-15,5.687761e-20,3.380688e-14,1.4638576e-08
200000,1.867728e-08,9.278203e-12,6.4674446e-12,3.1285193e-13,5.165963e-13,1.3757526e-09,2.7340146e-08,1.3925612e-10,9.888778e-11,4.785684e-12,6.1426463e-12,8.450694e-09
210000,3.200605e-08,1.3385388e-12,2.9940007e-16,1.5887072e-20,1.4920302e-17,3.9876594e-10,2.9862594e-08,8.628829e-12,2.2439724e-15,1.1149318e-19,1.3480491e-16,4.572406e-09
220000,3.2711633e-08,3.4140345e-13,6.680724e-15,1.8243834e-18,9.660044e-20,5.556515e-12,2.980935e-08,2.7039963e-12,7.241392e-14,2.0534471e-17,7.4053313e-19,3.9159037e-11
230000,3.3521296e-08,3.3301454e-12,2.989293e-10,6.364713e-11,8.944669e-11,6.0665635e-12,2.9875704e-08,3.3321117e-11,3.3951433e-09,7.228924e-10,1.0158981e-09,4.2794282e-11
240000,3.431582e-08,5.527542e-13,3.059882e-10,6.515061e-11,9.155773e-11,1.2711502e-09,2.9970003e-08,3.5969949e-12,3.4346943e-09,7.313137e-10,1.0277328e-09,8.136662e-09
250000,3.6448153e-08,5.2151875e-13,7.1855396e-13,5.788106e-15,6.6835553e-16,1.7846221e-09,2.9677047e-08,3.8265415e-12,7.736839e-12,6.311312e-14,7.288862e-15,9.571254e-09
260000,3.7632095e-08,1.1706762e-12,3.321403e-10,7.0719035e-11,9.938318e-11,1.8308838e-09,2.9389463e-08,6.7760966e-12,3.5772536e-09,7.6166734e-10,1.0703894e-09,9.688772e-09
270000,3.773427e-08,2.4318522e-12,8.5458864e-16,3.810356e-20,1.2042364e-15,2.2903197e-09,2.9441736e-08,1.9808023e-11,7.066783e-15,3.8533446e-19,1.29674485e-14,1.078356e-08
280000,3.768683e-08,1.6897423e-12,6.651633e-10,1.414466e-10,1.9876749e-10,2.7715232e-09,2.965865e-08,1.0887205e-11,5.0373776e-09,1.0725069e-09,1.5072206e-09,1.1757843e-08
290000,3.8503007e-08,7.521943e-13,6.7749084e-10,1.4395962e-10,2.0224777e-10,3.7396397e-09,2.9469364e-08,5.2586832e-12,5.0924633e-09,1.082094e-09,1.5202252e-09,1.3637399e-08
300000,1.8676944e-08,2.2591814e-11,3.304753e-10,6.9278534e-11,2.583934e-10,1.5834959e-09,2.7980962e-08,3.089211e-10,3.5335048e-09,7.5215423e-10,2.7032796e-09,8.972036e-09
310000,3.2438898e-08,1.3813592e-12,4.293469e-12,4.5549908e-14,6.3800787e-15,3.9735493e-10,3.0614107e-08,7.37102e-12,3.412828e-11,3.7161615e-13,5.2306795e-14,4.539041e-09
320000,3.2744932e-08,1.5826569e-12,1.5472744e-14,6.797219e-18,9.553166e-19,4.1669904e-10,3.0651435e-08,7.87619e-12,1.0618659e-13,4.9847174e-17,5.1800436e-18,4.556041e-09
330000,3.3308357e-08,5.1139514e-12,5.821145e-10,1.2351749e-10,1.735672e-10,4.0895295e-10,3.0661358e-08,4.7929685e-11,4.711778e-09,1.0032708e-09,1.4099224e-09,4.5889896e-09
340000,3.4523115e-08,1.5830267e-12,3.0621858e-10,6.395365e-11,8.957346e-11,8.363303e-10,3.0473863e-08,7.6401515e-12,3.3955112e-09,7.2287387e-10,1.0158879e-09,6.5617205e-09
350000,3.5570196e-08,3.1295836e-12,2.3733066e-13,4.650604e-16,6.377299e-17,1.2970751e-09,3.0485676e-08,1.8582863e-11,2.2617266e-12,5.0382574e-15,5.3319983e-16,8.166199e-09
360000,3.6393992e-08,1.0411506e-12,6.408298e-10,1.341344e-10,1.8785294e-10,1.3175389e-09,3.0236844e-08,7.1337393e-12,4.89573e-09,1.042246e-09,1.464743e-09,8.190119e-09
370000,3.6565652e-08,1.1243127e-12,3.160562e-10,6.7269385e-11,9.453521e-11,2.183904e-09,3.042605e-08,7.424201e-12,3.4900767e-09,7.4301415e-10,1.0441755e-09,1.0537694e-08
380000,3.713142e-08,1.5030093e-12,3.2116362e-10,6.838122e-11,9.6097776e-11,2.6843134e-09,3.0464996e-08,7.948254e-12,3.5181293e-09,7.4907874e-10,1.0526985e-09,1.1655414e-08
390000,3.803817e-08,1.85337e-12,6.531191e-10,1.3906096e-10,1.9542573e-10,3.6484875e-09,3.0112343e-08,1.0326769e-11,4.9953672e-09,1.0636118e-09,1.4947195e-09,1.3526488e-08
400000,1.8665112e-08,2.32281e-12,7.9210516e-10,1.6820004e-10,2.3634214e-10,2.4310187e-09,2.8201073e-08,1.53829e-11,5.4946176e-09,1.1677148e-09,1.6408295e-09,1.10481215e-08
410000,3.5898548e-08,2.5435472e-12,1.07022064e-13,1.6108772e-16,8.165229e-18,1.3704594e-09,3.075956e-08,1.2213792e-11,1.1334316e-12,1.7945615e-15,6.223727e-17,8.1297316e-09
