mcsteps,1,2,3,4,5,6,7,8,9,10
0,72.0,129.0,165.0,20.0,2.0,0.0,19.0,0.0,0.0,12.0
10000,72.0,51.0,74.0,6.0,0.0,0.0,10.0,0.0,0.0,7.0
20000,72.0,47.0,53.0,6.0,0.0,0.0,23.0,0.0,0.0,7.0
30000,72.0,40.0,45.0,6.0,1.0,0.0,21.0,4.0,0.0,7.0
40000,72.0,28.0,34.0,6.0,5.0,0.0,22.0,4.0,4.0,7.0
50000,72.0,23.0,28.0,6.0,3.0,0.0,20.0,2.0,6.0,7.0
60000,72.0,17.0,18.0,5.0,2.0,0.0,21.0,1.0,3.0,7.0
70000,72.0,10.0,14.0,5.0,3.0,0.0,20.0,2.0,4.0,6.0
80000,72.0,6.0,13.0,5.0,3.0,0.0,18.0,3.0,3.0,6.0
90000,72.0,3.0,7.0,5.0,3.0,0.0,19.0,0.0,4.0,6.0
100000,72.0,13.0,95.0,15.0,0.0,0.0,28.0,3.0,3.0,16.0
110000,72.0,5.0,30.0,8.0,1.0,0.0,13.0,0.0,0.0,10.0
120000,72.0,5.0,20.0,8.0,1.0,0.0,16.0,0.0,0.0,10.0
130000,72.0,5.0,16.0,8.0,1.0,0.0,17.0,1.0,0.0,10.0
140000,72.0,4.0,13.0,8.0,1.0,0.0,15.0,2.0,2.0,10.0
150000,72.0,3.0,8.0,8.0,1.0,0.0,10.0,5.0,5.0,10.0
160000,72.0,3.0,8.0,8.0,1.0,0.0,9.0,1.0,10.0,10.0
170000,72.0,3.0,6.0,8.0,0.0,0.0,8.0,1.0,11.0,8.0
180000,72.0,1.0,4.0,8.0,0.0,0.0,8.0,0.0,9.0,8.0
190000,72.0,1.0,3.0,8.0,0.0,0.0,8.0,0.0,6.0,8.0
200000,72.0,11.0,90.0,18.0,0.0,0.0,18.0,1.0,3.0,18.0
210000,72.0,3.0,32.0,10.0,0.0,0.0,10.0,0.0,0.0,7.0
220000,72.0,3.0,24.0,10.0,0.0,0.0,14.0,1.0,0.0,7.0
230000,72.0,2.0,19.0,10.0,0.0,0.0,14.0,1.0,3.0,7.0
240000,72.0,1.0,15.0,10.0,0.0,0.0,15.0,0.0,4.0,6.0
250000,72.0,1.0,11.0,10.0,0.0,0.0,15.0,1.0,4.0,4.0
260000,72.0,1.0,7.0,10.0,0.0,0.0,18.0,0.0,5.0,4.0
270000,72.0,1.0,6.0,10.0,0.0,0.0,16.0,2.0,6.0,4.0
280000,72.0,0.0,4.0,10.0,0.0,0.0,15.0,2.0,8.0,4.0
290000,72.0,0.0,2.0,10.0,0.0,0.0,13.0,2.0,7.0,4.0
300000,72.0,10.0,88.0,20.0,0.0,0.0,26.0,1.0,8.0,14.0
310000,72.0,4.0,33.0,6.0,0.0,0.0,16.0,0.0,1.0,5.0
320000,72.0,4.0,28.0,6.0,0.0,0.0,17.0,2.0,1.0,5.0
330000,72.0,4.0,23.0,6.0,0.0,0.0,18.0,1.0,2.0,5.0
340000,72.0,3.0,19.0,6.0,0.0,0.0,20.0,0.0,3.0,5.0
350000,72.0,3.0,13.0,6.0,0.0,0.0,20.0,2.0,3.0,5.0
360000,72.0,3.0,10.0,6.0,0.0,0.0,21.0,1.0,5.0,5.0
370000,72.0,3.0,6.0,6.0,0.0,0.0,22.0,1.0,6.0,5.0
380000,72.0,2.0,2.0,6.0,0.0,0.0,22.0,2.0,8.0,5.0
390000,72.0,1.0,0.0,6.0,0.0,0.0,16.0,5.0,11.0,5.0
400000,72.0,11.0,86.0,16.0,0.0,0.0,29.0,1.0,16.0,15.0
410000,72.0,5.0,21.0,7.0,0.0,0.0,8.0,0.0,3.0,10.0
420000,72.0,5.0,16.0,6.0,0.0,0.0,11.0,1.0,3.0,9.0
430000,72.0,4.0,13.0,6.0,0.0,0.0,10.0,0.0,2.0,9.0
440000,72.0,4.0,8.0,6.0,0.0,0.0,10.0,2.0,1.0,9.0
450000,72.0,4.0,8.0,6.0,0.0,0.0,10.0,0.0,3.0,9.0
460000,72.0,4.0,5.0,5.0,0.0,0.0,8.0,2.0,3.0,8.0
470000,72.0,3.0,4.0,5.0,0.0,0.0,8.0,1.0,3.0,8.0
480000,72.0,2.0,4.0,5.0,0.0,0.0,6.0,2.0,4.0,8.0
490000,72.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,6.0,7.0
500000,72.0,11.0,87.0,14.0,1.0,0.0,18.0,0.0,9.0,17.0
510000,72.0,5.0,33.0,5.0,0.0,0.0,13.0,2.0,0.0,10.0
520000,72.0,5.0,26.0,5.0,0.0,0.0,13.0,1.0,2.0,10.0
530000,72.0,5.0,22.0,5.0,0.0,0.0,15.0,0.0,3.0,10.0
540000,72.0,5.0,11.0,4.0,0.0,0.0,17.0,4.0,3.0,10.0
550000,72.0,5.0,8.0,4.0,0.0,0.0,17.0,1.0,7.0,10.0
560000,72.0,4.0,5.0,4.0,0.0,0.0,18.0,1.0,9.0,10.0
570000,72.0,2.0,2.0,4.0,1.0,0.0,18.0,2.0,10.0,9.0
580000,72.0,2.0,2.0,4.0,0.0,0.0,16.0,2.0,12.0,9.0
590000,72.0,1.0,2.0,4.0,0.0,0.0,14.0,1.0,14.0,9.0
600000,72.0,11.0,81.0,13.0,0.0,0.0,31.0,2.0,15.0,20.0
610000,72.0,5.0,34.0,5.0,0.0,0.0,12.0,2.0,1.0,9.0
620000,72.0,5.0,26.0,5.0,0.0,0.0,14.0,1.0,3.0,9.0
630000,72.0,4.0,20.0,5.0,0.0,0.0,16.0,2.0,4.0,8.0
640000,72.0,4.0,16.0,5.0,0.0,0.0,17.0,0.0,6.0,8.0
650000,72.0,3.0,13.0,5.0,0.0,0.0,14.0,3.0,7.0,8.0
660000,72.0,3.0,11.0,5.0,0.0,0.0,10.0,3.0,11.0,8.0
670000,72.0,2.0,7.0,5.0,0.0,0.0,11.0,0.0,14.0,8.0
680000,72.0,2.0,4.0,5.0,0.0,0.0,10.0,2.0,14.0,8.0
690000,72.0,1.0,4.0,5.0,1.0,0.0,9.0,0.0,15.0,8.0
700000,72.0,11.0,83.0,15.0,0.0,0.0,28.0,2.0,15.0,18.0
710000,72.0,3.0,28.0,7.0,0.0,0.0,12.0,0.0,0.0,6.0
720000,72.0,3.0,22.0,7.0,0.0,0.0,17.0,1.0,0.0,6.0
730000,72.0,2.0,18.0,7.0,0.0,0.0,13.0,6.0,1.0,5.0
740000,72.0,2.0,14.0,7.0,0.0,0.0,11.0,0.0,9.0,5.0
750000,72.0,1.0,10.0,7.0,0.0,0.0,10.0,1.0,9.0,5.0
760000,72.0,0.0,6.0,7.0,0.0,0.0,11.0,1.0,10.0,5.0
770000,72.0,0.0,4.0,6.0,0.0,0.0,8.0,3.0,11.0,6.0
780000,72.0,0.0,4.0,6.0,0.0,0.0,8.0,0.0,14.0,6.0
790000,72.0,0.0,2.0,6.0,0.0,0.0,8.0,1.0,14.0,6.0
800000,72.0,10.0,87.0,16.0,0.0,0.0,23.0,0.0,15.0,16.0
810000,72.0,2.0,36.0,11.0,0.0,0.0,14.0,1.0,1.0,10.0
820000,72.0,1.0,26.0,11.0,1.0,0.0,16.0,2.0,2.0,10.0
830000,72.0,1.0,22.0,11.0,1.0,0.0,14.0,4.0,4.0,10.0
840000,72.0,1.0,18.0,11.0,1.0,0.0,10.0,5.0,9.0,10.0
850000,72.0,1.0,14.0,11.0,1.0,0.0,9.0,2.0,15.0,10.0
860000,72.0,0.0,11.0,11.0,1.0,0.0,9.0,0.0,17.0,10.0
870000,72.0,0.0,7.0,11.0,1.0,0.0,9.0,2.0,16.0,10.0
880000,72.0,0.0,4.0,11.0,1.0,0.0,4.0,2.0,19.0,10.0
890000,72.0,0.0,1.0,8.0,0.0,0.0,5.0,0.0,19.0,12.0
900000,72.0,9.0,85.0,18.0,1.0,0.0,20.0,1.0,19.0,21.0
910000,72.0,8.0,30.0,8.0,1.0,0.0,10.0,2.0,1.0,10.0
920000,72.0,6.0,19.0,8.0,1.0,0.0,14.0,2.0,3.0,10.0
930000,72.0,6.0,16.0,8.0,1.0,0.0,15.0,1.0,5.0,10.0
940000,72.0,5.0,11.0,8.0,1.0,0.0,11.0,5.0,8.0,10.0
950000,72.0,4.0,8.0,8.0,0.0,0.0,12.0,0.0,14.0,10.0
960000,72.0,3.0,6.0,8.0,0.0,0.0,11.0,1.0,14.0,10.0
970000,72.0,3.0,4.0,8.0,0.0,0.0,10.0,1.0,15.0,10.0
980000,72.0,1.0,3.0,7.0,0.0,0.0,9.0,1.0,16.0,11.0
990000,72.0,0.0,2.0,7.0,0.0,0.0,8.0,1.0,17.0,10.0
1000000,72.0,9.0,88.0,17.0,1.0,0.0,21.0,0.0,18.0,20.0
