meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,4.797136e-09,0.0,0.0,0.0,0.0,0.0,8.0580635e-09,0.0,0.0,0.0,0.0,0.0
10000,1.2331095e-08,3.6782252e-10,0.0,0.0,4.546858e-10,0.0,1.4604767e-08,3.4959269e-09,0.0,0.0,4.3215085e-09,0.0
20000,1.5621206e-08,4.995457e-10,2.713794e-10,3.8912103e-11,7.0396855e-10,0.0,1.8184787e-08,4.0660026e-09,3.1355771e-09,4.4959902e-10,5.114086e-09,0.0
30000,1.8331011e-08,5.209544e-10,4.2278597e-10,6.062175e-11,7.760829e-10,3.1465214e-10,2.0627228e-08,4.1595705e-09,3.9055292e-09,5.599997e-10,5.253699e-09,3.5668284e-09
40000,2.0749475e-08,6.8005757e-10,2.9555094e-10,4.237796e-11,9.347997e-10,4.950045e-10,2.2343624e-08,4.7311057e-09,3.2711485e-09,4.690381e-10,5.927167e-09,4.463325e-09
50000,2.3334653e-08,5.8173416e-10,6.3204375e-10,9.062646e-11,9.204468e-10,3.574252e-10,2.3591305e-08,4.3822608e-09,4.761349e-09,6.827126e-10,5.599708e-09,3.77526e-09
60000,2.5497723e-08,7.7235796e-10,8.3334983e-10,1.1949036e-10,1.2136953e-09,7.442743e-10,2.4470271e-08,5.0503077e-09,5.451887e-09,7.8172635e-10,6.4027588e-09,5.456388e-09
70000,2.8184713e-08,6.587588e-10,7.190301e-10,1.0270751e-10,1.0423258e-09,1.0016198e-09,2.4930312e-08,4.6578057e-09,5.0667275e-09,7.2578826e-10,5.9481198e-09,6.318698e-09
80000,3.037228e-08,3.481986e-10,5.673916e-10,8.1352605e-11,6.110852e-10,2.1221473e-09,2.5249818e-08,3.4020482e-09,4.5152198e-09,6.4742145e-10,4.427126e-09,9.030371e-09
90000,3.307795e-08,5.630668e-10,8.111961e-10,1.1630423e-10,9.505853e-10,2.044705e-09,2.5200002e-08,4.3239803e-09,5.3803695e-09,7.7147305e-10,5.554144e-09,8.908877e-09
100000,2.052825e-08,3.7495565e-13,2.458347e-10,3.5243797e-11,7.830192e-11,1.2369118e-09,2.5634971e-08,3.4150343e-12,2.9851641e-09,4.2803233e-10,9.509732e-10,6.99605e-09
110000,3.199058e-08,1.7607216e-10,8.401989e-14,3.8110704e-16,2.17424e-10,8.568414e-10,2.6270435e-08,2.4244218e-09,1.1050048e-12,5.2213114e-15,2.9969813e-09,5.8555814e-09
120000,3.3038543e-08,3.5953504e-10,5.9487365e-10,8.421495e-11,6.3085676e-10,8.503495e-12,2.6331735e-08,3.455598e-09,4.593053e-09,6.5772204e-10,4.49623e-09,1.0728527e-10
130000,3.3792354e-08,5.5502997e-10,3.9689607e-10,5.688849e-11,8.0353385e-10,1.1124781e-09,2.6510003e-08,4.2771453e-09,3.7846895e-09,5.42675e-10,5.3802025e-09,6.643846e-09
140000,3.569156e-08,3.8353212e-10,2.0756995e-10,2.9737685e-11,5.379767e-10,1.6253648e-09,2.61566e-08,3.5606071e-09,2.74349e-09,3.933809e-10,4.4806483e-09,7.979136e-09
150000,3.6942083e-08,2.000923e-10,2.137069e-10,3.060743e-11,3.1091194e-10,1.9231612e-09,2.6020082e-08,2.602809e-09,2.7830729e-09,3.990573e-10,3.2839214e-09,8.674957e-09
160000,3.8640355e-08,2.0683293e-10,4.4538984e-10,6.3826694e-11,3.950239e-10,9.962149e-10,2.5710307e-08,2.6151918e-09,4.0061274e-09,5.744279e-10,3.4653285e-09,6.2852394e-09
170000,3.958658e-08,2.2892131e-10,2.2701661e-10,3.250893e-11,3.3095185e-10,1.0150382e-09,2.5512582e-08,2.688312e-09,2.8676748e-09,4.111885e-10,3.3833691e-09,6.3420225e-09
180000,3.982373e-08,2.0930879e-10,4.548819e-10,6.50444e-11,4.0240078e-10,1.5246536e-09,2.5575634e-08,2.6393434e-09,4.052731e-09,5.7993715e-10,3.497098e-09,7.731272e-09
190000,4.183682e-08,1.2650083e-12,4.110771e-13,2.222883e-15,4.594561e-16,1.8563489e-09,2.4756401e-08,7.395712e-12,4.5881775e-12,2.7096894e-14,5.461272e-15,8.486775e-09
200000,2.31113e-08,9.514498e-12,1.296809e-10,1.8560513e-11,4.171575e-11,8.7528745e-10,2.7702956e-08,1.2456998e-10,2.1697057e-09,3.111078e-10,6.912166e-10,5.899923e-09
210000,3.629891e-08,9.198026e-13,4.3032228e-13,2.4195325e-15,4.988071e-16,4.795365e-10,2.7356052e-08,4.924578e-12,5.134823e-12,3.1771735e-14,6.501862e-15,4.2851482e-09
220000,3.738433e-08,4.889594e-12,2.08855e-10,2.958553e-11,6.570142e-11,7.590988e-12,2.6986289e-08,4.1655956e-11,2.7356442e-09,3.9227324e-10,8.715283e-10,3.5840924e-11
230000,3.8529326e-08,4.493565e-12,5.5537904e-13,3.153305e-15,6.26079e-15,2.551323e-10,2.6860882e-08,4.3923698e-11,6.176274e-12,3.9956953e-14,7.325719e-14,3.160214e-09
240000,3.9141348e-08,1.4429459e-12,7.5257395e-13,4.3833044e-15,8.950288e-16,2.4985414e-10,2.6733247e-08,6.984251e-12,7.0150287e-12,4.5557948e-14,9.461203e-15,3.1340157e-09
250000,4.0182428e-08,2.0755306e-10,2.2329376e-10,3.1916674e-11,3.2412162e-10,2.5692087e-10,2.646948e-08,2.615094e-09,2.8414708e-09,4.074334e-10,3.351874e-09,3.1717178e-09
260000,4.0524935e-08,4.155688e-10,7.017924e-13,4.2678187e-15,5.0955e-10,5.1047977e-10,2.6459688e-08,3.714896e-09,7.658992e-12,5.301975e-14,4.5717656e-09,4.488245e-09
270000,4.1160817e-08,4.190141e-10,2.2830059e-10,3.2517267e-11,5.881e-10,5.216804e-10,2.6267864e-08,3.720778e-09,2.8676026e-09,4.1118786e-10,4.68158e-09,4.51218e-09
280000,4.1755307e-08,4.2900558e-10,2.3035814e-10,3.2921298e-11,5.9550503e-10,8.0509316e-10,2.6131795e-08,3.7436783e-09,2.8855125e-09,4.1374998e-10,4.710463e-09,5.546132e-09
290000,4.2399627e-08,2.1684443e-10,4.6582505e-10,6.667659e-11,4.1263587e-10,7.982359e-10,2.5915693e-08,2.6723945e-09,4.093277e-09,5.8693195e-10,3.540712e-09,5.5765383e-09
300000,2.367758e-08,4.9350623e-12,5.131035e-10,7.321611e-11,1.6263102e-10,7.3711287e-10,2.832853e-08,2.509537e-11,4.2860853e-09,6.1460204e-10,1.3654854e-09,5.3391265e-09
310000,3.6517026e-08,3.6215009e-12,8.0557826e-13,5.4153213e-15,5.833875e-15,2.3739322e-10,2.8356444e-08,2.4962756e-11,9.234891e-12,7.1236975e-14,6.392687e-14,3.0033043e-09
320000,3.683797e-08,1.8881412e-10,4.0105394e-10,5.7213196e-11,3.5406733e-10,2.3591495e-10,2.8140553e-08,2.5163984e-09,3.794805e-09,5.441379e-10,3.2834102e-09,3.0034115e-09
330000,3.7923034e-08,2.025944e-10,3.000409e-12,5.6436704e-14,2.3489566e-10,4.79067e-10,2.7906987e-08,2.5122975e-09,2.764608e-11,6.6710667e-13,3.1038456e-09,4.324591e-09
340000,3.8901806e-08,1.982701e-10,4.230992e-10,6.0512026e-11,3.744736e-10,5.003122e-10,2.785236e-08,2.5464986e-09,3.901702e-09,5.594656e-10,3.3751257e-09,4.397967e-09
350000,3.949637e-08,1.9962607e-10,8.556518e-10,1.2243752e-10,5.1485255e-10,9.823318e-10,2.7654771e-08,2.5613032e-09,5.516587e-09,7.9103923e-10,3.603175e-09,6.178268e-09
360000,4.0268077e-08,2.0756466e-10,2.2081378e-10,3.121465e-11,3.1644806e-10,1.9776056e-09,2.7450234e-08,2.5839941e-09,2.8352733e-09,4.032746e-10,3.3122132e-09,8.743809e-09
370000,4.1303213e-08,2.1849213e-10,1.3499051e-09,1.9199398e-10,6.80749e-10,2.0502486e-09,2.7117633e-08,2.6159344e-09,6.8629618e-09,9.827867e-10,3.8730037e-09,8.807202e-09
380000,4.191139e-08,1.2165835e-11,1.2812476e-12,9.047801e-15,1.7541471e-12,3.2893461e-09,2.6895638e-08,9.261114e-11,1.2377384e-11,1.1027936e-13,2.2221872e-11,1.1064558e-08
390000,4.240576e-08,6.8730134e-12,2.3131341e-10,3.275287e-11,7.2695835e-11,3.343488e-09,2.6844269e-08,3.001267e-11,2.8905784e-09,4.128165e-10,9.166063e-10,1.11613065e-08
400000,2.4131765e-08,9.677509e-12,1.28233e-10,1.8181102e-11,4.040228e-11,2.0487063e-09,2.8722589e-08,5.7724717e-11,2.14702e-09,3.0786107e-10,6.8398426e-10,8.80703e-09
410000,3.7605172e-08,1.9879576e-10,1.4131602e-11,5.794878e-13,2.3054994e-10,7.1059375e-10,2.8553014e-08,2.5236933e-09,1.3980543e-10,7.374236e-12,3.070469e-09,5.210437e-09
420000,3.8268034e-08,1.9361682e-10,1.7065847e-12,1.0494176e-14,2.3200382e-10,4.7901894e-10,2.8442853e-08,2.5037028e-09,1.3958189e-11,1.2506994e-13,3.0952632e-09,4.2811994e-09
430000,3.8853674e-08,1.9970316e-10,2.1017069e-10,2.9758782e-11,3.0203653e-10,4.956909e-10,2.8433627e-08,2.5248492e-09,2.743392e-09,3.9337936e-10,3.2366183e-09,4.348091e-09
440000,3.9432106e-08,2.0078997e-10,6.319065e-10,9.02727e-11,4.3916773e-10,7.668678e-10,2.8229932e-08,2.5393654e-09,4.7588506e-09,6.8145906e-10,3.4713101e-09,5.355557e-09
450000,4.0888533e-08,2.1262782e-10,8.715987e-10,1.2464979e-10,5.261805e-10,1.2529264e-09,2.7760324e-08,2.646003e-09,5.571324e-09,7.9807166e-10,3.6584722e-09,6.9693096e-09
460000,4.1175685e-08,2.0852756e-10,1.1244149e-11,3.0365584e-13,2.4887498e-10,2.2428173e-09,2.7712385e-08,2.5915845e-09,1.0294422e-10,3.1449379e-12,3.2038798e-09,9.216496e-09
470000,4.1442473e-08,2.1246882e-10,3.6660154e-12,3.3688272e-14,2.5018093e-10,2.2439823e-09,2.7704363e-08,2.5991975e-09,3.0212693e-11,3.1009543e-13,3.2134713e-09,9.2518135e-09
480000,4.281657e-08,1.0334418e-11,2.283717e-10,3.252089e-11,7.223097e-11,2.1038171e-09,2.7117958e-08,4.946163e-11,2.8676055e-09,4.1118756e-10,9.135504e-10,8.974264e-09
490000,4.3164526e-08,1.4949927e-11,6.860952e-10,9.814559e-11,2.206995e-10,2.3257878e-09,2.698798e-08,8.900673e-11,4.9507487e-09,7.098986e-10,1.5771977e-09,9.396525e-09
500000,2.4643487e-08,7.525794e-12,2.6243877e-10,3.6587258e-11,8.077812e-11,1.6065237e-09,2.8897812e-08,3.9812834e-11,3.0271852e-09,4.3388312e-10,9.639426e-10,7.80025e-09
510000,3.7965965e-08,1.9092034e-10,1.12409864e-11,6.1519057e-13,2.2751588e-10,3.066476e-10,2.8909094e-08,2.4764342e-09,1.2929466e-10,8.120712e-12,3.0614034e-09,3.0884062e-09
520000,3.800562e-08,1.9100908e-10,2.3127825e-10,2.995217e-11,2.91581e-10,2.67488e-10,2.894825e-08,2.476461e-09,2.6982672e-09,3.8586978e-10,3.1745522e-09,3.046332e-09
530000,3.9199097e-08,1.9720972e-10,6.209186e-10,8.825412e-11,4.292956e-10,5.0315685e-10,2.856509e-08,2.5107247e-09,4.6978763e-09,6.736942e-10,3.4326484e-09,4.3229216e-09
540000,4.0031754e-08,2.0137729e-10,2.3040125e-10,3.1007166e-11,3.047755e-10,1.3586108e-09,2.8245726e-08,2.5319864e-09,2.8890839e-09,3.9998035e-10,3.2468312e-09,7.008334e-09
550000,4.007233e-08,5.9417293e-10,6.3366873e-10,9.028241e-11,9.165689e-10,1.4424127e-09,2.8463464e-08,4.3955417e-09,4.75087e-09,6.8125955e-10,5.5883707e-09,7.428846e-09
560000,4.1168907e-08,4.051408e-10,1.0856737e-09,1.546449e-10,8.312927e-10,1.968136e-09,2.8008667e-08,3.621591e-09,6.16617e-09,8.8419183e-10,4.861535e-09,8.668463e-09
570000,4.2099856e-08,2.2767198e-10,4.393658e-10,6.269743e-11,3.8866035e-10,3.4755132e-09,2.760259e-08,2.5956897e-09,3.9702384e-09,5.6930627e-10,3.434391e-09,1.1360431e-08
580000,4.264767e-08,2.2034143e-10,4.6834114e-10,6.5036754e-11,3.9629353e-10,4.0259787e-09,2.7583447e-08,2.6571196e-09,4.107949e-09,5.785273e-10,3.467128e-09,1.2109612e-08
590000,4.354577e-08,8.8672975e-12,2.3050271e-10,3.25345e-11,7.224055e-11,4.636853e-09,2.7188662e-08,4.8534766e-11,2.8674774e-09,4.1118656e-10,9.135496e-10,1.2847399e-08
600000,2.484024e-08,1.0257245e-11,1.4211396e-10,1.8950284e-11,4.1063482e-11,2.734765e-09,2.9240006e-08,5.3808753e-11,2.1475424e-09,3.0743214e-10,6.8282513e-10,1.0107999e-08
610000,3.7997545e-08,8.966548e-12,4.6343806e-12,5.123821e-14,2.6291086e-14,6.042805e-11,2.9083228e-08,4.526908e-11,2.724732e-11,3.706772e-13,1.8080276e-13,2.2722227e-10
620000,3.8025384e-08,1.95138e-10,1.5238054e-11,7.2282284e-13,2.2528589e-10,6.538562e-11,2.9312726e-08,2.5030444e-09,1.1888371e-10,8.820275e-12,3.045634e-09,2.433893e-10
630000,3.8673555e-08,1.9429662e-10,4.056022e-10,5.7549715e-11,3.5599715e-10,2.9090624e-10,2.9185399e-08,2.4844784e-09,3.804822e-09,5.456119e-10,3.2916132e-09,3.0224425e-09
640000,3.9626162e-08,3.880209e-10,2.1739446e-10,3.0117655e-11,5.327166e-10,7.5956585e-10,2.8891678e-08,3.5401089e-09,2.729464e-09,3.912294e-10,4.455684e-09,5.275939e-09
650000,4.1984073e-08,2.1415743e-10,4.375545e-10,6.233145e-11,3.8761455e-10,1.2961966e-09,2.8106573e-08,2.5843612e-09,3.9584758e-09,5.6762905e-10,3.4309264e-09,6.981681e-09
660000,4.240348e-08,2.0953694e-10,4.40362e-10,6.270575e-11,3.8795e-10,2.298585e-09,2.7864418e-08,2.5926394e-09,3.970193e-09,5.693054e-10,3.4344598e-09,9.199052e-09
670000,4.304497e-08,2.1508112e-10,1.1251708e-09,1.6035809e-10,6.0866107e-10,2.603629e-09,2.7767003e-08,2.614897e-09,6.2742065e-09,8.997128e-10,3.777234e-09,9.768539e-09
680000,4.323151e-08,2.1673535e-10,4.861119e-10,7.98021e-11,4.5473308e-10,4.0492902e-09,2.7589612e-08,2.614931e-09,4.030205e-09,6.0776667e-10,3.5413537e-09,1.20875985e-08
690000,4.342463e-08,2.1556112e-10,4.4576855e-12,3.410039e-14,2.5480218e-10,4.588695e-09,2.7657931e-08,2.622923e-09,2.3846427e-11,2.8912774e-13,3.242726e-09,1.2791438e-08
700000,2.5067688e-08,1.2866391e-10,3.80575e-10,5.3823643e-11,3.7837827e-10,2.599176e-09,2.9283804e-08,1.9629551e-09,3.6863492e-09,5.2790394e-10,3.322409e-09,9.801478e-09
710000,3.972434e-08,9.307792e-12,6.834869e-12,7.292824e-14,4.2265335e-14,1.1600762e-10,2.9045667e-08,4.2267086e-11,3.8194583e-11,6.0443463e-13,3.2247517e-13,4.3421527e-10
720000,3.9968995e-08,1.518538e-11,6.6032583e-12,7.59408e-14,2.7503535e-12,9.905728e-11,2.9003806e-08,8.974317e-11,3.8640573e-11,6.40722e-13,3.5982443e-11,3.787183e-10
730000,4.0650214e-08,8.998072e-12,2.2359793e-10,3.0311108e-11,6.675191e-11,3.0581013e-10,2.884439e-08,3.8593646e-11,2.7576403e-09,3.945072e-10,8.7645186e-10,3.0818585e-09
740000,4.105834e-08,2.0793799e-10,4.2552895e-10,6.021638e-11,3.724197e-10,7.768955e-10,2.8610426e-08,2.579923e-09,3.8901953e-09,5.578689e-10,3.3662384e-09,5.3079883e-09
750000,4.196155e-08,2.1196332e-10,4.347933e-10,6.16125e-11,3.8112505e-10,1.3045951e-09,2.839575e-08,2.5683342e-09,3.9351886e-09,5.643187e-10,3.4044032e-09,7.030045e-09
760000,4.2921883e-08,2.1245969e-10,4.4545653e-10,6.312205e-11,3.903182e-10,1.5497382e-09,2.808927e-08,2.5990659e-09,3.9923567e-09,5.7124083e-10,3.4447096e-09,7.598021e-09
770000,4.2919993e-08,2.1633144e-10,6.6516936e-10,9.463344e-11,4.63955e-10,2.3375373e-09,2.81619e-08,2.618811e-09,4.8616946e-09,6.971869e-10,3.593471e-09,9.226314e-09
780000,4.3928292e-08,2.1739113e-10,6.783859e-10,9.639675e-11,4.6887505e-10,3.0867369e-09,2.7584365e-08,2.6227798e-09,4.913417e-09,7.036564e-10,3.5845806e-09,1.0655662e-08
790000,4.4814076e-08,1.1437291e-11,4.890876e-10,7.937191e-11,2.0826652e-10,3.7196228e-09,2.7396553e-08,4.4532406e-11,4.0765724e-09,6.0597377e-10,1.4845984e-09,1.1655775e-08
800000,2.5719514e-08,1.2162603e-11,1.8020719e-11,8.2725173e-13,1.0134184e-12,2.4266396e-09,2.9651572e-08,4.427539e-11,1.3503954e-10,9.044165e-12,1.0907494e-11,9.409773e-09
