meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.429188e-09,0.0,0.0,0.0,0.0,0.0,1.2458318e-08,0.0,0.0,0.0,0.0,0.0
10000,2.0394902e-08,0.0,0.0,0.0,0.0,0.0,2.2738591e-08,0.0,0.0,0.0,0.0,0.0
20000,2.5694234e-08,0.0,2.4035665e-10,2.6522458e-11,5.5384104e-11,0.0,2.8281365e-08,0.0,3.4747965e-09,3.8343081e-10,8.0067875e-10,0.0
30000,3.0637672e-08,1.6881614e-10,2.5240482e-10,2.7964518e-11,2.6711458e-10,2.038524e-10,3.202805e-08,2.3754532e-09,3.5516508e-09,3.934956e-10,3.0453688e-09,2.868457e-09
40000,3.552409e-08,0.0,1.2989369e-25,0.0,0.0,4.3855877e-10,3.4604614e-08,0.0,0.0,0.0,0.0,4.1950616e-09
50000,4.0461956e-08,3.2830085e-24,0.0,0.0,0.0,1.1007716e-16,3.6188524e-08,3.743392e-23,0.0,0.0,0.0,1.4352304e-15
60000,4.5430703e-08,6.2549355e-23,3.179023e-10,3.5221135e-11,7.359387e-11,2.568207e-10,3.6954532e-08,7.8343395e-22,3.983304e-09,4.4131954e-10,9.221285e-10,3.2170728e-09
70000,5.0235194e-08,7.406368e-18,1.3667637e-09,1.5142691e-10,3.1640357e-10,2.7990724e-10,3.700053e-08,8.948655e-17,8.172058e-09,9.0540136e-10,1.891818e-09,3.3821175e-09
80000,5.455402e-08,3.324923e-21,1.0919252e-09,1.2097694e-10,2.5277894e-10,1.1879145e-09,3.6683517e-08,2.741799e-20,7.324857e-09,8.1153795e-10,1.6956927e-09,6.8759696e-09
90000,5.761519e-08,6.258201e-18,7.59021e-10,8.3755156e-11,1.7489717e-10,1.8301773e-09,3.6318415e-08,7.1842006e-17,6.1277516e-09,6.775526e-10,1.4153042e-09,8.419649e-09
100000,3.0720628e-08,8.461355e-15,1.9961799e-10,2.194633e-11,4.5801075e-11,6.389547e-10,3.9395665e-08,1.3458601e-13,3.1454335e-09,3.4848546e-10,7.281561e-10,5.050499e-09
110000,5.195776e-08,2.4809415e-20,4.5387786e-12,9.240406e-14,5.591502e-14,5.4115346e-10,3.9933937e-08,3.0385208e-19,5.5584894e-11,1.131713e-12,6.8481635e-13,4.670919e-09
120000,5.3536766e-08,5.0733084e-20,5.946651e-12,1.240174e-13,7.5850066e-14,2.8622624e-10,4.0024855e-08,6.15105e-19,7.209777e-11,1.5036309e-12,9.196332e-13,3.3255163e-09
130000,5.550624e-08,9.697391e-20,3.5616854e-10,3.8802607e-11,8.084591e-11,2.8173852e-10,3.9877612e-08,1.1596392e-18,4.1714667e-09,4.6212256e-10,9.656081e-10,3.3687917e-09
140000,5.5912874e-08,1.697254e-19,7.0612655e-10,7.7476935e-11,1.6161375e-10,5.6372507e-10,4.0192234e-08,2.0295948e-18,5.8781127e-09,6.512458e-10,1.3607904e-09,4.747479e-09
150000,5.845753e-08,2.4168642e-10,9.909246e-12,2.219377e-13,2.989022e-10,8.798213e-10,3.9522227e-08,2.8391725e-09,1.16376624e-10,2.6071708e-12,3.5096517e-09,5.923197e-09
160000,6.092561e-08,5.6322728e-18,1.1318378e-11,2.5959424e-13,1.6526166e-13,9.084482e-10,3.892429e-08,5.9534326e-17,1.3051385e-10,2.9937853e-12,1.9058904e-12,6.001472e-09
170000,6.3086596e-08,8.2573553e-19,3.990227e-10,4.310424e-11,8.9635833e-11,6.245341e-10,3.8286974e-08,8.794936e-18,4.3895967e-09,4.861822e-10,1.0158838e-09,4.99277e-09
180000,6.435311e-08,1.1660816e-18,4.0618542e-10,4.3806795e-11,9.10572e-11,9.520992e-10,3.800668e-08,1.3141062e-17,4.4237383e-09,4.899355e-10,1.023726e-09,6.1371273e-09
190000,6.73287e-08,1.7543967e-18,4.235441e-10,4.5616916e-11,9.4780225e-11,6.6527583e-10,3.6515985e-08,1.9377899e-17,4.51225e-09,4.99713e-10,1.0441569e-09,5.1673075e-09
200000,3.3446188e-08,7.6878113e-16,2.1610991e-10,2.2578658e-11,4.6597493e-11,4.9069615e-10,4.2230777e-08,1.2135268e-14,3.1680976e-09,3.505592e-10,7.324678e-10,4.4292485e-09
210000,5.260025e-08,1.39804634e-14,1.2942459e-11,3.3246377e-13,2.2253914e-13,2.5637886e-10,4.2957986e-08,1.6456048e-13,1.6213678e-10,4.1786193e-12,2.797255e-12,3.206936e-09
220000,5.411341e-08,2.1673882e-10,6.618566e-10,7.216802e-11,4.1820394e-10,1.9746193e-11,4.285974e-08,2.6896496e-09,5.6696443e-09,6.280178e-10,3.563143e-09,2.271948e-10
230000,5.5448314e-08,2.2101586e-10,1.4547961e-11,3.9067802e-13,2.734771e-10,5.3555704e-10,4.2651884e-08,2.7158882e-09,1.7791656e-10,4.80007e-12,3.3572443e-09,4.6224247e-09
240000,5.6975555e-08,2.2698995e-10,1.0334538e-09,1.13225054e-10,5.16585e-10,5.5037075e-10,4.2547644e-08,2.752099e-09,7.0786057e-09,7.8418577e-10,3.758502e-09,4.683595e-09
250000,5.8329032e-08,2.3168562e-10,1.736767e-11,4.575625e-13,2.8671565e-10,1.1263124e-09,4.2308518e-08,2.7802272e-09,1.923499e-10,5.421485e-12,3.4367729e-09,6.66939e-09
260000,6.0609274e-08,2.4003446e-10,3.7576478e-10,4.023848e-11,3.8002837e-10,1.1660612e-09,4.1653493e-08,2.8290812e-09,4.2331694e-09,4.6863446e-10,3.6248764e-09,6.757404e-09
270000,6.308502e-08,2.4902244e-10,7.620264e-10,8.2971574e-11,4.802542e-10,1.505697e-09,4.0737334e-08,2.880604e-09,6.069507e-09,6.7226974e-10,3.814058e-09,7.66055e-09
280000,6.414074e-08,5.251757e-10,3.961482e-10,4.2398352e-11,7.1340317e-10,2.1386455e-09,4.0485077e-08,4.123581e-09,4.3425255e-09,4.807179e-10,5.1427165e-09,9.05762e-09
290000,6.694148e-08,2.6414138e-10,4.1184814e-10,4.407536e-11,4.1571457e-10,1.9192603e-09,3.908237e-08,2.9576186e-09,4.4259303e-09,4.8994403e-10,3.7890273e-09,8.6353e-09
300000,3.420795e-08,1.3107408e-10,3.0993666e-10,3.9198977e-11,2.4981164e-10,1.136624e-09,4.2949118e-08,2.0914654e-09,3.5443501e-09,4.4198004e-10,2.7647535e-09,6.6160326e-09
310000,5.1715194e-08,6.594047e-13,2.049812e-11,5.996818e-13,4.2992468e-13,2.4733865e-10,4.443788e-08,8.4255354e-12,2.06726e-10,6.4589965e-12,4.7445927e-12,3.1297058e-09
