mcsteps,1,2,3,4,5,6,7,8,9,10
0,95.0,80.0,140.0,17.0,0.0,0.0,20.0,0.0,0.0,11.0
10000,95.0,42.0,57.0,4.0,0.0,0.0,11.0,1.0,0.0,3.0
20000,95.0,34.0,49.0,4.0,1.0,0.0,14.0,1.0,1.0,3.0
30000,95.0,29.0,37.0,4.0,0.0,0.0,15.0,0.0,2.0,3.0
40000,95.0,27.0,28.0,4.0,0.0,0.0,19.0,0.0,0.0,3.0
50000,95.0,22.0,15.0,4.0,0.0,0.0,17.0,1.0,1.0,3.0
60000,95.0,15.0,12.0,4.0,0.0,0.0,14.0,4.0,1.0,3.0
70000,95.0,10.0,9.0,4.0,1.0,0.0,11.0,3.0,5.0,3.0
80000,95.0,5.0,7.0,4.0,0.0,0.0,11.0,2.0,6.0,3.0
90000,95.0,2.0,3.0,4.0,0.0,0.0,12.0,1.0,5.0,3.0
100000,95.0,12.0,92.0,14.0,0.0,0.0,22.0,1.0,3.0,13.0
110000,95.0,4.0,31.0,7.0,0.0,0.0,6.0,0.0,1.0,5.0
120000,95.0,4.0,24.0,7.0,0.0,0.0,8.0,1.0,1.0,5.0
130000,95.0,4.0,23.0,7.0,0.0,0.0,6.0,2.0,2.0,5.0
140000,95.0,3.0,18.0,7.0,1.0,0.0,10.0,0.0,3.0,5.0
150000,95.0,3.0,10.0,6.0,0.0,0.0,12.0,0.0,3.0,5.0
160000,95.0,1.0,7.0,6.0,0.0,0.0,13.0,1.0,2.0,5.0
170000,95.0,1.0,6.0,6.0,0.0,0.0,12.0,1.0,3.0,5.0
180000,95.0,1.0,3.0,6.0,0.0,0.0,12.0,1.0,2.0,5.0
190000,95.0,0.0,1.0,6.0,0.0,0.0,11.0,1.0,3.0,4.0
200000,95.0,10.0,88.0,16.0,0.0,0.0,22.0,2.0,4.0,14.0
210000,95.0,6.0,31.0,8.0,1.0,0.0,8.0,2.0,0.0,7.0
220000,95.0,6.0,23.0,8.0,1.0,0.0,11.0,0.0,2.0,7.0
230000,95.0,6.0,17.0,8.0,1.0,0.0,10.0,3.0,2.0,7.0
240000,95.0,6.0,14.0,8.0,1.0,0.0,11.0,0.0,5.0,7.0
250000,95.0,5.0,9.0,8.0,1.0,0.0,10.0,1.0,4.0,7.0
260000,95.0,4.0,7.0,8.0,1.0,0.0,8.0,2.0,5.0,7.0
270000,95.0,3.0,3.0,8.0,2.0,0.0,7.0,1.0,7.0,7.0
280000,95.0,2.0,1.0,8.0,1.0,0.0,7.0,1.0,6.0,7.0
290000,95.0,2.0,1.0,8.0,1.0,0.0,6.0,1.0,7.0,7.0
300000,95.0,11.0,94.0,18.0,1.0,0.0,13.0,0.0,6.0,16.0
310000,95.0,3.0,36.0,8.0,0.0,0.0,10.0,1.0,2.0,12.0
320000,95.0,2.0,28.0,7.0,0.0,0.0,12.0,2.0,3.0,12.0
