mcsteps,1,2,3,4,5,6,7,8,9,10
0,106.0,75.0,159.0,18.0,3.0,0.0,23.0,0.0,0.0,12.0
10000,106.0,33.0,58.0,13.0,4.0,0.0,19.0,2.0,0.0,5.0
20000,106.0,25.0,45.0,12.0,5.0,0.0,22.0,2.0,2.0,5.0
30000,106.0,17.0,34.0,11.0,5.0,0.0,23.0,4.0,2.0,5.0
40000,106.0,13.0,29.0,11.0,6.0,0.0,19.0,6.0,4.0,5.0
50000,106.0,9.0,23.0,11.0,5.0,0.0,23.0,1.0,6.0,5.0
60000,106.0,7.0,18.0,11.0,3.0,0.0,20.0,3.0,1.0,5.0
70000,106.0,6.0,13.0,11.0,2.0,0.0,19.0,1.0,4.0,5.0
80000,106.0,4.0,3.0,11.0,2.0,0.0,18.0,3.0,5.0,5.0
90000,106.0,1.0,1.0,10.0,2.0,0.0,15.0,4.0,5.0,5.0
100000,106.0,10.0,86.0,20.0,1.0,0.0,27.0,3.0,6.0,15.0
110000,106.0,3.0,24.0,9.0,0.0,0.0,6.0,0.0,0.0,4.0
120000,106.0,3.0,19.0,9.0,0.0,0.0,7.0,1.0,1.0,4.0
130000,106.0,2.0,12.0,9.0,1.0,0.0,9.0,0.0,2.0,4.0
140000,106.0,2.0,9.0,9.0,1.0,0.0,6.0,3.0,3.0,4.0
150000,106.0,2.0,8.0,9.0,1.0,0.0,5.0,1.0,5.0,4.0
160000,106.0,2.0,7.0,9.0,1.0,0.0,6.0,0.0,5.0,4.0
170000,106.0,0.0,5.0,8.0,1.0,0.0,6.0,1.0,5.0,3.0
180000,106.0,0.0,4.0,8.0,1.0,0.0,6.0,0.0,4.0,3.0
190000,106.0,0.0,3.0,8.0,0.0,0.0,4.0,2.0,2.0,3.0
200000,106.0,9.0,85.0,18.0,1.0,0.0,22.0,0.0,3.0,13.0
210000,106.0,4.0,30.0,6.0,1.0,0.0,9.0,0.0,0.0,7.0
220000,106.0,4.0,20.0,6.0,1.0,0.0,15.0,0.0,0.0,7.0
230000,106.0,3.0,16.0,6.0,2.0,0.0,14.0,1.0,3.0,7.0
