meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,5.7880913e-09,0.0,0.0,0.0,0.0,0.0,9.547479e-09,0.0,0.0,0.0,0.0,0.0
10000,1.5369517e-08,2.8221236e-10,0.0,0.0,3.4610853e-10,0.0,1.7286474e-08,3.0786722e-09,0.0,0.0,3.7755976e-09,0.0
20000,1.9413344e-08,5.71694e-10,3.6963477e-10,4.507875e-11,8.0244766e-10,0.0,2.1498472e-08,4.353999e-09,3.998211e-09,4.876012e-10,5.453026e-09,0.0
30000,2.3536888e-08,7.659749e-10,3.9748962e-10,4.837796e-11,1.0495839e-09,3.6127093e-10,2.435272e-08,5.0229394e-09,4.149926e-09,5.0508087e-10,6.271082e-09,3.7718584e-09
40000,2.707925e-08,8.153983e-10,8.479686e-10,1.033094e-10,1.2337573e-09,3.8308512e-10,2.6288085e-08,5.1699094e-09,6.0259637e-09,7.3415135e-10,6.5545454e-09,3.86897e-09
50000,2.963526e-08,1.020788e-09,1.3217243e-09,1.6119067e-10,1.6108328e-09,7.9712953e-10,2.7594606e-08,5.774374e-09,7.476802e-09,9.1183217e-10,7.3325563e-09,5.551352e-09
60000,3.250845e-08,9.0114716e-10,2.3324553e-10,2.8445414e-11,1.1726085e-09,1.0550341e-09,2.8433583e-08,5.436953e-09,3.181044e-09,3.8794376e-10,6.742704e-09,6.365191e-09
70000,3.5893233e-08,5.7946503e-10,7.520157e-10,9.171194e-11,9.164794e-10,2.3335797e-10,2.8737821e-08,4.3729376e-09,5.6775935e-09,6.9240996e-10,5.5879528e-09,3.069119e-09
80000,3.9083933e-08,4.122232e-10,2.6758906e-10,3.2633698e-11,5.80882e-10,9.68325e-10,2.86981e-08,3.6983496e-09,3.4058434e-09,4.1535916e-10,4.65322e-09,6.1048278e-09
90000,4.1545963e-08,4.3069925e-10,8.387877e-10,1.0229408e-10,7.56022e-10,1.2720748e-09,2.849771e-08,3.7793555e-09,5.990134e-09,7.3052586e-10,4.9130904e-09,6.990695e-09
