meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,5.391046e-09,0.0,0.0,0.0,0.0,0.0,1.1467068e-08,0.0,0.0,0.0,0.0,0.0
10000,1.5757422e-08,1.4670049e-10,0.0,0.0,1.8134484e-10,0.0,2.2583892e-08,2.2151285e-09,0.0,0.0,2.7382472e-09,0.0
20000,1.9738922e-08,2.9598599e-10,0.0,0.0,3.6588518e-10,0.0,2.810011e-08,3.1394047e-09,0.0,0.0,3.880798e-09,0.0
30000,2.3518794e-08,3.1250616e-10,3.500401e-10,8.4042384e-11,4.9448573e-10,0.0,3.213645e-08,3.2250271e-09,3.6123844e-09,8.673077e-10,4.129898e-09,0.0
40000,2.766446e-08,5.1449967e-10,3.8009407e-10,9.125815e-11,7.467809e-10,3.5385422e-10,3.5191434e-08,4.148007e-09,3.76275e-09,9.0340946e-10,5.1910254e-09,3.502978e-09
50000,3.1526803e-08,9.229266e-10,4.1249745e-10,9.923824e-11,1.2686566e-09,3.849617e-10,3.763094e-08,5.4912093e-09,3.913295e-09,9.414566e-10,6.8742017e-09,3.652068e-09
60000,3.463786e-08,9.76583e-10,8.751004e-10,2.1010596e-10,1.4776559e-09,6.110158e-10,3.9255614e-08,5.643938e-09,5.6713154e-09,1.3616425e-09,7.148045e-09,4.586009e-09
70000,3.8901177e-08,1.2873189e-09,4.7450244e-18,3.7145496e-22,1.5871204e-09,9.055719e-10,4.06421e-08,6.458125e-09,5.2787318e-17,4.6393907e-21,7.962011e-09,5.5395497e-09
80000,4.2085684e-08,1.5926044e-09,5.072604e-10,1.2203621e-10,2.1213618e-09,9.501877e-10,4.1551218e-08,7.147782e-09,4.334034e-09,1.0426778e-09,8.882579e-09,5.7011906e-09
90000,4.662243e-08,1.2351002e-09,8.293816e-10,1.9926319e-10,1.7832806e-09,5.2263766e-10,4.194312e-08,6.3219203e-09,5.5223106e-09,1.3267598e-09,7.950238e-09,4.2770814e-09
100000,2.5008601e-08,5.308556e-10,2.909868e-10,7.000527e-11,7.342907e-10,6.7906264e-10,3.8790258e-08,4.168203e-09,3.2921372e-09,7.920193e-10,5.2201297e-09,4.829285e-09
110000,4.276654e-08,2.692135e-14,2.4968742e-16,1.2642711e-19,1.5571515e-21,6.9290856e-10,4.3194596e-08,2.4743779e-13,2.293437e-15,1.3935468e-18,1.6738657e-20,4.8725015e-09
120000,4.4659892e-08,5.521539e-14,4.1051383e-13,3.5862935e-15,3.8392454e-16,7.9165315e-13,4.357505e-08,4.524232e-13,4.9600437e-12,4.3333335e-14,4.6388013e-15,9.481375e-12
130000,4.696188e-08,5.7889735e-14,4.3302855e-17,7.051635e-21,3.5313544e-21,2.4959482e-10,4.3827182e-08,4.9720146e-13,4.0095427e-16,6.5805914e-20,3.9667966e-20,2.939639e-09
140000,4.8568022e-08,1.9141574e-12,1.0112383e-16,1.9245393e-20,3.60403e-16,2.57223e-10,4.41415e-08,1.6117519e-11,9.262943e-16,1.7702326e-19,4.1536293e-15,2.9819234e-09
150000,5.0051664e-08,1.3731334e-13,5.602579e-10,1.3478627e-10,1.7354972e-10,2.68325e-10,4.42205e-08,1.0518126e-12,4.5515547e-09,1.0950089e-09,1.4099245e-09,3.0578609e-09
160000,5.1852965e-08,2.3454055e-13,2.901647e-10,6.95264e-11,8.946663e-11,5.4130905e-10,4.429465e-08,1.8049763e-12,3.295633e-09,7.8966805e-10,1.0161456e-09,4.3113655e-09
170000,5.611177e-08,1.7752478e-12,1.2409019e-09,2.985349e-10,3.843911e-10,8.7149793e-10,4.359594e-08,1.3601464e-11,6.7112e-09,1.6145744e-09,2.0789128e-09,5.4468536e-09
180000,5.8115848e-08,2.908214e-10,1.0188843e-15,2.317398e-19,3.5494194e-10,2.1038722e-09,4.3502947e-08,3.0923608e-09,8.2996405e-15,1.9517387e-18,3.82282e-09,8.324642e-09
190000,6.0561725e-08,1.9727879e-11,6.6600697e-10,1.5990365e-10,2.0694568e-10,2.1786795e-09,4.2857923e-08,1.9780313e-10,4.961645e-09,1.1912555e-09,1.5332751e-09,8.46106e-09
200000,2.883646e-08,1.3547465e-11,6.327314e-10,1.5093395e-10,1.9442917e-10,1.0306261e-09,4.2206693e-08,1.4520923e-10,4.805797e-09,1.156063e-09,1.4885206e-09,5.918401e-09
210000,4.691581e-08,2.3291685e-10,5.7952046e-15,1.6344397e-18,2.8250585e-10,9.595442e-10,4.5769703e-08,2.7612777e-09,4.778486e-14,1.4109076e-17,3.413499e-09,5.6987277e-09
220000,4.941715e-08,2.4179792e-10,2.7185643e-10,6.466702e-11,3.797446e-10,5.307211e-12,4.582161e-08,2.8289513e-09,3.1611047e-09,7.6048967e-10,3.624904e-09,4.9594627e-11
230000,5.0991023e-08,2.5225488e-10,8.293851e-10,1.9926316e-10,5.618755e-10,2.6515162e-10,4.587627e-08,2.8700353e-09,5.5223097e-09,1.3267598e-09,3.9176467e-09,2.9927347e-09
240000,5.37e-08,2.592004e-10,8.240792e-14,5.02296e-16,3.1944597e-10,8.176745e-10,4.548763e-08,2.9350051e-09,8.8255255e-13,5.6892497e-15,3.6282082e-09,5.258863e-09
250000,5.3681767e-08,2.65029e-10,2.9018332e-10,6.9526405e-11,4.089179e-10,8.1601625e-10,4.5797247e-08,2.9432838e-09,3.2956318e-09,7.89668e-10,3.760224e-09,5.2591225e-09
260000,5.480323e-08,2.704194e-10,2.9328126e-10,7.055221e-11,4.1536202e-10,1.1222919e-09,4.5629793e-08,3.0052592e-09,3.30487e-09,7.950827e-10,3.789928e-09,6.0946137e-09
270000,5.5484477e-08,2.6562588e-10,2.0385294e-13,4.0722035e-16,3.269919e-10,1.390156e-09,4.553463e-08,2.969169e-09,2.1774444e-12,4.539327e-15,3.670475e-09,6.810912e-09
280000,5.618714e-08,2.7076177e-10,6.006406e-10,1.4449095e-10,5.182691e-10,1.4111062e-09,4.5821118e-08,2.9925757e-09,4.709987e-09,1.1331254e-09,3.961221e-09,6.863165e-09
290000,5.7313898e-08,2.8978925e-10,9.1715e-10,2.203237e-10,6.2301325e-10,2.005173e-09,4.5623317e-08,3.0186722e-09,5.7998712e-09,1.3934484e-09,4.114778e-09,8.1133855e-09
300000,2.899177e-08,1.4254639e-10,4.6204518e-10,1.0967223e-10,3.0829878e-10,1.1399409e-09,4.284645e-08,2.1293802e-09,4.1174477e-09,9.877579e-10,2.9146134e-09,6.1892673e-09
310000,5.149929e-08,2.897124e-12,1.5669838e-14,5.375708e-18,6.28836e-17,5.283492e-10,4.6607003e-08,1.7252323e-11,1.3338164e-13,4.754173e-17,4.9380247e-16,4.1857353e-09
320000,5.2510828e-08,3.0257056e-12,2.6186768e-13,1.5442408e-15,2.0692397e-16,5.280169e-10,4.647394e-08,1.6620868e-11,1.7276147e-12,1.2397048e-14,1.2156859e-15,4.2162065e-09
330000,5.4258027e-08,1.3558646e-11,8.598407e-10,2.0680996e-10,2.682623e-10,2.8012614e-10,4.664516e-08,1.1441766e-10,5.615062e-09,1.3508737e-09,1.7392178e-09,3.0493572e-09
340000,5.612881e-08,3.7826513e-12,3.110077e-10,7.2271154e-11,9.2119555e-11,8.4307406e-10,4.6365525e-08,2.6688774e-11,3.3207836e-09,7.981852e-10,1.0277015e-09,5.318734e-09
350000,5.8510846e-08,2.1716925e-12,9.2310837e-10,2.2206592e-10,2.8593028e-10,1.1735913e-09,4.596612e-08,1.2114143e-11,5.813691e-09,1.398604e-09,1.8008312e-09,6.261218e-09
360000,6.016963e-08,1.7584569e-12,2.6062566e-10,7.042844e-11,9.5941664e-11,2.0856337e-09,4.5554067e-08,1.0182712e-11,2.8299134e-09,7.6504786e-10,1.0421929e-09,8.27315e-09
370000,6.016216e-08,3.8595832e-12,3.1585784e-10,7.588891e-11,9.771299e-11,2.3798912e-09,4.5749452e-08,1.8050797e-11,3.42651e-09,8.243553e-10,1.0614333e-09,8.793561e-09
