mcsteps,1,2,3,4,5,6,7,8,9,10
0,75.0,125.0,165.0,20.0,2.0,0.0,18.0,0.0,0.0,11.0
10000,75.0,54.0,66.0,13.0,2.0,0.0,15.0,0.0,0.0,4.0
20000,75.0,48.0,58.0,13.0,2.0,0.0,17.0,2.0,0.0,2.0
30000,75.0,38.0,44.0,13.0,3.0,0.0,21.0,3.0,2.0,2.0
40000,75.0,32.0,29.0,13.0,5.0,0.0,26.0,2.0,2.0,2.0
50000,75.0,28.0,24.0,12.0,5.0,0.0,23.0,4.0,3.0,2.0
60000,75.0,21.0,17.0,12.0,6.0,0.0,24.0,0.0,4.0,1.0
70000,75.0,13.0,11.0,12.0,7.0,0.0,23.0,2.0,4.0,1.0
80000,75.0,9.0,6.0,12.0,5.0,0.0,23.0,3.0,2.0,1.0
90000,75.0,4.0,6.0,12.0,4.0,0.0,21.0,2.0,5.0,1.0
100000,75.0,14.0,91.0,22.0,0.0,0.0,29.0,4.0,6.0,11.0
110000,75.0,9.0,42.0,9.0,0.0,0.0,11.0,0.0,0.0,3.0
120000,75.0,8.0,33.0,9.0,0.0,0.0,12.0,0.0,1.0,3.0
130000,75.0,7.0,26.0,9.0,0.0,0.0,17.0,0.0,1.0,3.0
140000,75.0,6.0,24.0,8.0,0.0,0.0,16.0,2.0,1.0,3.0
150000,75.0,4.0,20.0,8.0,0.0,0.0,17.0,1.0,2.0,3.0
160000,75.0,3.0,9.0,8.0,0.0,0.0,18.0,4.0,3.0,3.0
170000,75.0,1.0,4.0,8.0,1.0,0.0,19.0,0.0,7.0,3.0
180000,75.0,0.0,2.0,7.0,0.0,0.0,18.0,2.0,7.0,3.0
190000,75.0,0.0,1.0,6.0,0.0,0.0,14.0,4.0,7.0,3.0
200000,75.0,9.0,88.0,16.0,1.0,0.0,25.0,2.0,10.0,13.0
210000,75.0,4.0,34.0,9.0,1.0,0.0,14.0,1.0,0.0,5.0
220000,75.0,3.0,24.0,8.0,1.0,0.0,18.0,3.0,1.0,5.0
230000,75.0,3.0,14.0,8.0,1.0,0.0,21.0,0.0,4.0,5.0
240000,75.0,3.0,11.0,8.0,1.0,0.0,23.0,1.0,3.0,5.0
250000,75.0,3.0,7.0,8.0,1.0,0.0,24.0,1.0,4.0,5.0
260000,75.0,2.0,6.0,8.0,1.0,0.0,25.0,0.0,5.0,5.0
270000,75.0,1.0,4.0,8.0,1.0,0.0,24.0,2.0,5.0,5.0
280000,75.0,1.0,3.0,8.0,1.0,0.0,20.0,3.0,7.0,5.0
290000,75.0,0.0,1.0,8.0,1.0,0.0,17.0,3.0,8.0,5.0
300000,75.0,10.0,89.0,18.0,0.0,0.0,27.0,2.0,11.0,15.0
310000,75.0,4.0,29.0,7.0,0.0,0.0,12.0,0.0,2.0,9.0
320000,75.0,4.0,22.0,7.0,0.0,0.0,12.0,3.0,1.0,8.0
330000,75.0,3.0,17.0,7.0,0.0,0.0,13.0,1.0,3.0,8.0
340000,75.0,2.0,11.0,7.0,0.0,0.0,12.0,3.0,4.0,8.0
350000,75.0,2.0,9.0,7.0,0.0,0.0,12.0,0.0,7.0,8.0
360000,75.0,2.0,6.0,7.0,0.0,0.0,12.0,1.0,8.0,8.0
370000,75.0,2.0,5.0,7.0,0.0,0.0,8.0,3.0,10.0,8.0
380000,75.0,1.0,3.0,7.0,0.0,0.0,8.0,1.0,13.0,8.0
390000,75.0,1.0,0.0,7.0,0.0,0.0,8.0,1.0,13.0,8.0
400000,75.0,11.0,85.0,16.0,0.0,0.0,22.0,1.0,14.0,18.0
410000,75.0,4.0,36.0,6.0,0.0,0.0,12.0,2.0,5.0,8.0
420000,75.0,3.0,25.0,6.0,1.0,0.0,14.0,1.0,7.0,8.0
430000,75.0,3.0,21.0,6.0,0.0,0.0,16.0,1.0,5.0,8.0
440000,75.0,2.0,18.0,6.0,1.0,0.0,17.0,0.0,5.0,8.0
450000,75.0,1.0,17.0,6.0,1.0,0.0,15.0,1.0,5.0,7.0
460000,75.0,1.0,15.0,6.0,1.0,0.0,11.0,3.0,7.0,6.0
470000,75.0,1.0,11.0,6.0,1.0,0.0,11.0,1.0,10.0,6.0
480000,75.0,1.0,6.0,6.0,1.0,0.0,11.0,1.0,11.0,6.0
490000,75.0,0.0,3.0,6.0,1.0,0.0,11.0,1.0,12.0,6.0
500000,75.0,9.0,95.0,16.0,1.0,0.0,15.0,3.0,12.0,16.0
510000,75.0,3.0,34.0,5.0,1.0,0.0,9.0,3.0,3.0,9.0
520000,75.0,3.0,27.0,5.0,1.0,0.0,12.0,1.0,5.0,9.0
530000,75.0,2.0,23.0,5.0,2.0,0.0,12.0,2.0,6.0,9.0
540000,75.0,1.0,21.0,5.0,2.0,0.0,13.0,1.0,7.0,9.0
550000,75.0,1.0,13.0,5.0,2.0,0.0,13.0,4.0,7.0,9.0
560000,75.0,1.0,8.0,5.0,2.0,0.0,13.0,3.0,9.0,9.0
570000,75.0,1.0,6.0,5.0,2.0,0.0,11.0,2.0,11.0,7.0
580000,75.0,0.0,3.0,5.0,2.0,0.0,13.0,0.0,13.0,7.0
590000,75.0,0.0,3.0,5.0,2.0,0.0,11.0,2.0,13.0,7.0
600000,75.0,10.0,90.0,15.0,0.0,0.0,21.0,2.0,16.0,17.0
610000,75.0,7.0,37.0,7.0,0.0,0.0,5.0,1.0,0.0,8.0
620000,75.0,7.0,30.0,7.0,0.0,0.0,10.0,0.0,1.0,8.0
630000,75.0,7.0,22.0,7.0,0.0,0.0,16.0,0.0,1.0,8.0
640000,75.0,5.0,17.0,7.0,1.0,0.0,12.0,4.0,1.0,8.0
650000,75.0,5.0,15.0,7.0,1.0,0.0,11.0,2.0,5.0,8.0
660000,75.0,4.0,10.0,6.0,1.0,0.0,12.0,0.0,7.0,8.0
670000,75.0,2.0,8.0,6.0,2.0,0.0,12.0,0.0,8.0,8.0
680000,75.0,1.0,6.0,6.0,1.0,0.0,12.0,1.0,8.0,8.0
690000,75.0,0.0,4.0,6.0,0.0,0.0,7.0,4.0,10.0,8.0
700000,75.0,9.0,87.0,16.0,1.0,0.0,24.0,0.0,13.0,18.0
710000,75.0,3.0,29.0,12.0,3.0,0.0,10.0,1.0,0.0,10.0
720000,75.0,3.0,25.0,12.0,1.0,0.0,11.0,1.0,1.0,10.0
730000,75.0,3.0,21.0,12.0,1.0,0.0,11.0,2.0,2.0,10.0
740000,75.0,2.0,15.0,12.0,1.0,0.0,13.0,0.0,4.0,10.0
750000,75.0,1.0,11.0,12.0,1.0,0.0,11.0,4.0,4.0,10.0
760000,75.0,1.0,9.0,12.0,1.0,0.0,10.0,2.0,8.0,10.0
770000,75.0,0.0,5.0,12.0,1.0,0.0,10.0,1.0,9.0,10.0
780000,75.0,0.0,5.0,11.0,1.0,0.0,8.0,2.0,10.0,10.0
790000,75.0,0.0,2.0,11.0,1.0,0.0,8.0,1.0,12.0,10.0
800000,75.0,9.0,87.0,20.0,1.0,0.0,22.0,1.0,13.0,20.0
810000,75.0,4.0,31.0,11.0,1.0,0.0,11.0,2.0,0.0,8.0
820000,75.0,4.0,22.0,11.0,1.0,0.0,14.0,1.0,2.0,7.0
830000,75.0,3.0,16.0,11.0,1.0,0.0,18.0,0.0,4.0,7.0
840000,75.0,2.0,13.0,10.0,1.0,0.0,17.0,2.0,4.0,7.0
850000,75.0,1.0,9.0,10.0,2.0,0.0,16.0,0.0,7.0,7.0
860000,75.0,1.0,9.0,10.0,1.0,0.0,11.0,3.0,9.0,7.0
870000,75.0,0.0,7.0,10.0,1.0,0.0,11.0,0.0,12.0,7.0
880000,75.0,0.0,4.0,10.0,1.0,0.0,9.0,2.0,12.0,7.0
890000,75.0,0.0,1.0,10.0,1.0,0.0,3.0,5.0,15.0,7.0
900000,75.0,8.0,83.0,19.0,2.0,0.0,21.0,0.0,19.0,17.0
910000,75.0,4.0,33.0,6.0,0.0,0.0,10.0,0.0,0.0,9.0
920000,75.0,3.0,27.0,6.0,0.0,0.0,10.0,1.0,0.0,9.0
930000,75.0,2.0,19.0,6.0,1.0,0.0,11.0,1.0,2.0,9.0
940000,75.0,1.0,14.0,6.0,2.0,0.0,13.0,0.0,3.0,9.0
950000,75.0,0.0,7.0,6.0,1.0,0.0,15.0,1.0,3.0,9.0
960000,75.0,0.0,4.0,6.0,0.0,0.0,14.0,1.0,4.0,9.0
970000,75.0,0.0,2.0,6.0,0.0,0.0,15.0,0.0,5.0,9.0
980000,75.0,0.0,1.0,6.0,0.0,0.0,10.0,4.0,5.0,9.0
990000,75.0,0.0,0.0,6.0,0.0,0.0,9.0,1.0,9.0,8.0
1000000,75.0,7.0,82.0,14.0,3.0,0.0,26.0,0.0,10.0,18.0
