meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,6.7878805e-09,0.0,0.0,0.0,0.0,0.0,1.16396155e-08,0.0,0.0,0.0,0.0,0.0
10000,1.9354092e-08,2.709262e-10,0.0,0.0,3.322642e-10,0.0,2.1471696e-08,3.0169844e-09,0.0,0.0,3.6999377e-09,0.0
20000,2.4444079e-08,4.1189818e-10,0.0,0.0,5.064797e-10,0.0,2.6658888e-08,3.7071322e-09,0.0,0.0,4.5583177e-09,0.0
30000,2.8586665e-08,4.2754944e-10,3.803272e-10,6.813482e-11,6.238383e-10,0.0,3.0185717e-08,3.7759835e-09,4.122649e-09,7.38564e-10,4.7524087e-09,0.0
40000,3.207575e-08,4.4206275e-10,1.9767005e-10,3.5412177e-11,5.974199e-10,5.884092e-10,3.2548684e-08,3.8281094e-09,2.9782001e-09,5.3353827e-10,4.7883026e-09,5.0957736e-09
50000,3.5410043e-08,4.6511156e-10,2.0769018e-10,3.7207265e-11,6.2770406e-10,6.242089e-10,3.4246582e-08,3.922538e-09,3.0524099e-09,5.4683286e-10,4.906227e-09,5.2724993e-09
60000,3.984915e-08,3.360447e-10,4.506877e-10,8.073976e-11,5.31558e-10,2.2678996e-10,3.5216917e-08,3.3425924e-09,4.484286e-09,8.0335044e-10,4.2796304e-09,3.1992657e-09
70000,4.23586e-08,5.251614e-10,1.2088022e-19,5.901943e-25,6.455648e-10,4.634112e-10,3.600283e-08,4.1781907e-09,1.5824031e-18,0.0,5.13755e-09,4.5286424e-09
80000,4.4625846e-08,5.4868055e-10,4.820189e-10,8.635269e-11,7.908526e-10,7.174193e-10,3.64866e-08,4.2215467e-09,4.63591e-09,8.3051355e-10,5.337374e-09,5.6185074e-09
90000,4.9129405e-08,1.9453114e-10,7.8153933e-10,1.4001116e-10,4.4168477e-10,7.762883e-10,3.6021714e-08,2.546718e-09,5.883214e-09,1.0539656e-09,3.4811147e-09,5.837469e-09
100000,2.9690177e-08,1.1531622e-10,3.094472e-10,5.532494e-11,2.2187145e-10,7.7126494e-10,3.7133567e-08,1.9625812e-09,3.7262486e-09,6.662007e-10,2.604446e-09,5.8014837e-09
110000,4.5962455e-08,6.7325957e-13,2.5694374e-13,1.5725981e-15,1.9072567e-16,7.099278e-10,3.813832e-08,4.3821357e-12,3.5223749e-12,2.1562267e-14,2.5504338e-15,5.5891762e-09
120000,4.7540432e-08,1.8246944e-10,2.4361496e-10,4.3643113e-11,2.8732866e-10,2.2974474e-14,3.8162643e-08,2.4631772e-09,3.3045537e-09,5.92004e-10,3.1575784e-09,2.2172199e-13
130000,4.879601e-08,3.7669776e-10,4.952612e-10,8.872501e-11,5.8418753e-10,2.5284072e-10,3.8207045e-08,3.5304142e-09,4.69846e-09,8.417195e-10,4.483355e-09,3.4014844e-09
140000,5.0414492e-08,3.7962922e-10,7.553853e-10,1.3531808e-10,6.5893596e-10,7.4960654e-10,3.81661e-08,3.5596297e-09,5.7854774e-09,1.0364573e-09,4.594071e-09,5.740581e-09
150000,5.1678917e-08,3.911657e-10,2.5903793e-10,4.6402188e-11,5.442177e-10,1.8064058e-09,3.8167222e-08,3.6097654e-09,3.4068208e-09,6.10325e-10,4.506481e-09,8.823273e-09
160000,5.2908163e-08,3.9422424e-10,1.6481328e-16,2.3064492e-20,4.8570725e-10,2.0921558e-09,3.808338e-08,3.6117143e-09,1.875614e-15,2.9272405e-19,4.4648094e-09,9.443556e-09
170000,5.5651117e-08,2.1122465e-10,8.2948654e-10,1.486008e-10,4.6878584e-10,1.9392814e-09,3.7512937e-08,2.626591e-09,6.0577134e-09,1.0852267e-09,3.5845364e-09,9.065144e-09
180000,5.7061193e-08,3.4840713e-12,5.6537963e-10,1.0097227e-10,1.4536641e-10,2.8069755e-09,3.7120692e-08,1.8411188e-11,5.019478e-09,8.974229e-10,1.2920375e-09,1.0871399e-08
190000,5.960636e-08,2.2403115e-12,8.779646e-10,1.5728525e-10,2.2651622e-10,2.3275546e-09,3.6119253e-08,1.1604877e-11,6.228796e-09,1.1158757e-09,1.6070414e-09,9.941933e-09
200000,3.303856e-08,1.350401e-11,4.361919e-15,2.2409837e-18,2.854845e-13,1.4475705e-09,3.9914248e-08,1.4096367e-10,3.7416278e-14,2.2082941e-17,4.710855e-12,7.948986e-09
210000,5.1337288e-08,3.683939e-12,1.7374968e-14,1.7451646e-17,6.635856e-17,5.0178506e-10,3.982117e-08,1.8977337e-11,2.1342223e-13,2.1937071e-16,3.9682207e-16,4.6873296e-09
220000,5.2109968e-08,1.910587e-10,2.5319905e-10,4.5359418e-11,2.9862812e-10,3.7934472e-13,3.9792337e-08,2.5110103e-09,3.3685448e-09,6.034678e-10,3.2185423e-09,1.8661461e-12
230000,5.455996e-08,3.1504814e-12,2.6356528e-10,4.721624e-11,6.799907e-11,2.62164e-10,3.9142563e-08,1.6113447e-11,3.4364025e-09,6.156244e-10,8.865986e-10,3.4096936e-09
240000,5.6421133e-08,2.8304087e-12,5.845225e-14,7.6184764e-17,6.001134e-17,5.4319726e-10,3.856975e-08,1.5264241e-11,6.6306986e-13,9.011826e-16,3.9647196e-16,4.913815e-09
250000,5.8083174e-08,4.3767485e-12,6.856684e-10,1.3763699e-10,2.1156626e-10,5.6026317e-10,3.832497e-08,2.1957715e-11,5.2258935e-09,1.0076341e-09,1.5362791e-09,4.990699e-09
260000,5.904761e-08,3.329408e-12,5.6691823e-10,1.0155946e-10,1.4626211e-10,8.489714e-10,3.800731e-08,1.713473e-11,5.0227698e-09,8.99819e-10,1.2958848e-09,6.113369e-09
270000,5.999887e-08,3.5471855e-12,5.7414506e-10,1.0285321e-10,1.4812533e-10,1.4253445e-09,3.77012e-08,1.7980424e-11,5.05425e-09,9.0545865e-10,1.304007e-09,7.8521545e-09
280000,6.243397e-08,3.8942057e-12,8.970158e-10,1.6042401e-10,2.3101855e-10,2.084475e-09,3.671459e-08,1.9042096e-11,6.300294e-09,1.1267812e-09,1.6226201e-09,9.443049e-09
290000,6.492231e-08,4.2035546e-12,2.9282142e-14,3.1664193e-17,1.2219162e-16,2.7681502e-09,3.522076e-08,2.005412e-11,3.2622383e-13,3.7559378e-16,7.484086e-16,1.0770876e-08
300000,3.5553853e-08,3.7506634e-12,3.7021055e-12,1.02498156e-13,4.1832037e-14,1.334479e-09,4.091882e-08,2.401153e-11,4.847855e-11,1.6093408e-12,6.781487e-13,7.568558e-09
310000,5.3177722e-08,6.2628735e-12,1.5982979e-12,1.4650233e-14,7.605632e-15,7.563161e-10,4.0730797e-08,3.1271e-11,2.085161e-11,1.9493718e-13,7.6511266e-14,5.740306e-09
320000,5.3333387e-08,1.8410417e-11,2.5306748e-10,4.514478e-11,6.653185e-11,1.0230311e-09,4.0759012e-08,1.1234959e-10,3.3756462e-09,6.023058e-10,8.6701135e-10,6.6085857e-09
330000,5.668323e-08,2.0392917e-10,3.5842293e-10,7.975014e-11,3.7679695e-10,1.342416e-09,3.9750493e-08,2.576238e-09,3.646179e-09,7.430437e-10,3.3937926e-09,7.5758715e-09
340000,5.986768e-08,2.1568873e-10,2.9595038e-10,5.1039582e-11,3.3249486e-10,8.6118945e-10,3.8689976e-08,2.6472236e-09,3.5543528e-09,6.363004e-10,3.3930923e-09,6.06684e-09
350000,6.260762e-08,2.2650809e-10,8.8426727e-10,1.5831429e-10,4.994216e-10,1.1872916e-09,3.758716e-08,2.706667e-09,6.2491474e-09,1.1194443e-09,3.697756e-09,7.15929e-09
360000,6.38806e-08,2.3564728e-10,1.531324e-11,1.0031643e-12,2.756663e-10,2.0770372e-09,3.6720618e-08,2.76849e-09,1.8653974e-10,1.22849e-11,3.3690695e-09,9.401729e-09
370000,6.4866434e-08,2.323059e-10,3.046057e-10,5.4554014e-11,3.5916106e-10,1.8273415e-09,3.6661078e-08,2.7517666e-09,3.692086e-09,6.6143085e-10,3.5266234e-09,8.860734e-09
380000,6.64099e-08,7.1702245e-12,9.430111e-13,7.369018e-15,1.3431662e-15,2.1739839e-09,3.5724934e-08,3.0777166e-11,1.0029037e-11,8.6693795e-14,1.2026618e-14,9.6195025e-09
390000,6.653299e-08,8.253484e-12,1.3288811e-13,1.7201302e-16,3.8230694e-16,2.481516e-09,3.577465e-08,3.4568293e-11,1.3133615e-12,1.92136e-15,1.9609296e-15,1.0231553e-08
400000,3.609451e-08,7.2472315e-12,3.3158756e-10,5.936772e-11,8.55056e-11,1.3591647e-09,4.1844306e-08,4.107696e-11,3.850364e-09,6.897877e-10,9.934051e-10,7.616835e-09
410000,5.6132784e-08,8.2803235e-12,1.4276296e-11,8.1919866e-13,4.470133e-13,6.6061345e-10,4.07588e-08,3.2653096e-11,1.7644247e-10,1.0686295e-11,5.849379e-12,4.9983315e-09
420000,5.6848542e-08,2.0592522e-10,4.3154634e-12,4.2669525e-14,2.4287727e-10,1.5323166e-11,4.062576e-08,2.5613611e-09,3.667054e-11,3.987706e-13,3.166422e-09,7.392567e-11
430000,5.847063e-08,2.0713976e-10,1.3650158e-13,2.1482304e-16,2.4867086e-10,2.133826e-11,3.999911e-08,2.5914741e-09,1.7230962e-12,2.765636e-15,3.2038947e-09,8.9210424e-11
440000,5.9515067e-08,2.1029413e-10,1.0890562e-11,4.376877e-13,2.534195e-10,5.7354885e-11,3.9730175e-08,2.6149638e-09,1.3715432e-10,5.584929e-12,3.2328735e-09,2.9035319e-10
450000,6.291624e-08,2.224805e-10,1.4893546e-11,1.0911007e-12,2.6859318e-10,3.0666755e-10,3.8397115e-08,2.6893086e-09,1.74274e-10,1.3465641e-11,3.3247853e-09,3.5812637e-09
460000,6.308914e-08,2.2269264e-10,2.7769586e-12,3.0947e-14,2.6792782e-10,9.040272e-10,3.830257e-08,2.6892926e-09,3.203067e-11,3.8014462e-13,3.3248904e-09,6.173757e-09
470000,6.593026e-08,2.3304336e-10,3.0475433e-10,5.4554253e-11,3.5916134e-10,3.2246208e-10,3.702458e-08,2.7517257e-09,3.6920749e-09,6.614308e-10,3.5266234e-09,3.663532e-09
480000,6.6165626e-08,2.334432e-10,3.047578e-10,5.4554285e-11,3.5916142e-10,6.4238737e-10,3.6820975e-08,2.7516986e-09,3.6920746e-09,6.6143074e-10,3.5266234e-09,5.1781974e-09
490000,6.6154726e-08,2.367511e-10,6.093482e-10,1.0910835e-10,4.3779616e-10,9.246556e-10,3.701911e-08,2.7961335e-09,5.2035847e-09,9.322172e-10,3.6460437e-09,6.299846e-09
500000,3.6374686e-08,1.287201e-10,3.286713e-10,5.853502e-11,2.3473695e-10,8.625701e-10,4.2094655e-08,2.0184547e-09,3.8318664e-09,6.851014e-10,2.6783098e-09,5.9919274e-09
510000,5.4686947e-08,7.922006e-12,6.049895e-13,1.148597e-15,1.5403155e-15,2.6397771e-11,4.163409e-08,3.0620673e-11,4.891771e-12,1.062904e-14,8.992552e-15,1.06237415e-10
520000,5.519446e-08,8.738899e-12,1.2071157e-12,3.0135291e-15,1.9412323e-14,6.14126e-11,4.171721e-08,4.2337942e-11,9.871648e-12,2.7386927e-14,2.4860146e-13,2.947738e-10
530000,5.721485e-08,9.810016e-12,2.6364932e-10,4.6712457e-11,6.7248616e-11,3.0929478e-10,4.11242e-08,4.1415437e-11,3.416635e-09,6.1207334e-10,8.8148633e-10,3.3989496e-09
540000,5.8440953e-08,2.0361142e-10,7.983106e-10,1.425129e-10,4.4948498e-10,5.532978e-10,4.0638863e-08,2.5686453e-09,5.952213e-09,1.0632856e-09,3.5112129e-09,4.820023e-09
550000,5.9179282e-08,2.0654463e-10,5.53525e-10,9.690351e-11,3.8601147e-10,1.3663001e-09,4.0452402e-08,2.5837583e-09,4.9023283e-09,8.760304e-10,3.4243715e-09,7.593923e-09
560000,6.0197856e-08,2.1305947e-10,2.752579e-10,4.8954393e-11,3.2222197e-10,1.9385853e-09,4.0225142e-08,2.6490985e-09,3.4978376e-09,6.266489e-10,3.342551e-09,9.028243e-09
570000,6.1734184e-08,1.0960155e-11,8.4308516e-10,1.5048264e-10,2.1672568e-10,2.5936036e-09,3.9621053e-08,4.915796e-11,6.0941554e-09,1.0918144e-09,1.5723884e-09,1.0346282e-08
580000,6.169354e-08,1.0250172e-11,3.9745862e-13,7.280037e-16,6.901349e-14,3.4213987e-09,3.981585e-08,4.5583603e-11,4.099559e-12,8.813163e-15,6.0629637e-13,1.17897105e-08
590000,6.3310026e-08,6.831418e-12,2.1060614e-12,1.6313343e-14,3.2750965e-15,3.1942138e-09,3.913105e-08,2.5289583e-11,2.1626416e-11,1.9412048e-13,2.7931943e-14,1.1440869e-08
600000,3.5844582e-08,1.5168627e-11,1.6050836e-10,2.826774e-11,4.1557518e-11,1.9472295e-09,4.208669e-08,9.377026e-11,2.6603335e-09,4.7658694e-10,6.864707e-10,9.4215995e-09
610000,5.3811615e-08,7.999456e-12,1.0754143e-11,9.922022e-13,7.2420764e-13,5.4795085e-11,4.242242e-08,3.3504408e-11,1.3872826e-10,1.3483831e-11,9.3861785e-12,2.4499358e-10
