mcsteps,1,2,3,4,5,6,7,8,9,10
0,112.0,122.0,155.0,17.0,3.0,0.0,23.0,0.0,0.0,11.0
10000,112.0,42.0,61.0,9.0,3.0,0.0,19.0,0.0,0.0,4.0
20000,112.0,38.0,52.0,8.0,3.0,0.0,21.0,2.0,0.0,4.0
30000,112.0,36.0,42.0,8.0,3.0,0.0,24.0,1.0,3.0,3.0
40000,112.0,33.0,32.0,8.0,3.0,0.0,23.0,1.0,3.0,3.0
50000,112.0,25.0,25.0,7.0,2.0,0.0,26.0,2.0,1.0,3.0
60000,112.0,19.0,22.0,7.0,3.0,0.0,25.0,0.0,2.0,3.0
70000,112.0,15.0,18.0,7.0,3.0,0.0,24.0,2.0,3.0,3.0
80000,112.0,11.0,11.0,7.0,1.0,0.0,22.0,3.0,3.0,3.0
90000,112.0,6.0,8.0,7.0,1.0,0.0,20.0,2.0,5.0,3.0
100000,112.0,15.0,93.0,17.0,0.0,0.0,31.0,3.0,5.0,13.0
110000,112.0,8.0,39.0,6.0,1.0,0.0,12.0,1.0,0.0,7.0
120000,112.0,6.0,32.0,6.0,2.0,0.0,15.0,2.0,1.0,7.0
130000,112.0,6.0,27.0,6.0,2.0,0.0,14.0,3.0,3.0,7.0
140000,112.0,5.0,18.0,6.0,2.0,0.0,17.0,1.0,7.0,7.0
150000,112.0,4.0,13.0,6.0,2.0,0.0,19.0,0.0,8.0,7.0
160000,112.0,3.0,7.0,6.0,1.0,0.0,17.0,3.0,7.0,7.0
170000,112.0,3.0,3.0,6.0,0.0,0.0,17.0,2.0,10.0,7.0
180000,112.0,2.0,2.0,6.0,0.0,0.0,14.0,3.0,8.0,7.0
190000,112.0,1.0,2.0,6.0,0.0,0.0,14.0,0.0,9.0,7.0
200000,112.0,11.0,87.0,16.0,0.0,0.0,24.0,5.0,8.0,17.0
210000,112.0,5.0,32.0,10.0,1.0,0.0,10.0,1.0,0.0,7.0
220000,112.0,5.0,22.0,10.0,0.0,0.0,13.0,1.0,1.0,7.0
230000,112.0,5.0,17.0,10.0,0.0,0.0,15.0,0.0,2.0,7.0
240000,112.0,4.0,12.0,10.0,0.0,0.0,13.0,2.0,2.0,6.0
250000,112.0,4.0,11.0,10.0,0.0,0.0,11.0,2.0,4.0,6.0
260000,112.0,4.0,10.0,10.0,0.0,0.0,10.0,2.0,5.0,6.0
270000,112.0,3.0,5.0,9.0,0.0,0.0,7.0,3.0,7.0,6.0
280000,112.0,1.0,4.0,9.0,0.0,0.0,7.0,0.0,9.0,5.0
290000,112.0,1.0,3.0,9.0,0.0,0.0,6.0,0.0,8.0,5.0
300000,112.0,11.0,95.0,18.0,0.0,0.0,14.0,0.0,8.0,15.0
310000,112.0,4.0,36.0,9.0,0.0,0.0,8.0,1.0,4.0,5.0
320000,112.0,1.0,28.0,9.0,1.0,0.0,8.0,1.0,5.0,5.0
330000,112.0,0.0,21.0,9.0,1.0,0.0,10.0,1.0,4.0,4.0
340000,112.0,0.0,13.0,9.0,1.0,0.0,10.0,3.0,4.0,3.0
350000,112.0,0.0,9.0,9.0,1.0,0.0,11.0,0.0,7.0,3.0
360000,112.0,0.0,7.0,9.0,1.0,0.0,9.0,1.0,7.0,3.0
370000,112.0,0.0,4.0,9.0,0.0,0.0,10.0,0.0,7.0,3.0
380000,112.0,0.0,4.0,9.0,0.0,0.0,9.0,0.0,8.0,3.0
390000,112.0,0.0,2.0,9.0,0.0,0.0,7.0,2.0,8.0,3.0
400000,112.0,9.0,91.0,18.0,1.0,0.0,18.0,0.0,9.0,13.0
410000,112.0,4.0,31.0,8.0,1.0,0.0,8.0,0.0,0.0,7.0
420000,112.0,3.0,23.0,8.0,1.0,0.0,15.0,0.0,0.0,7.0
430000,112.0,3.0,17.0,8.0,1.0,0.0,17.0,0.0,0.0,7.0
440000,112.0,0.0,11.0,8.0,1.0,0.0,16.0,0.0,1.0,7.0
450000,112.0,0.0,9.0,8.0,1.0,0.0,16.0,0.0,3.0,6.0
460000,112.0,0.0,4.0,8.0,1.0,0.0,15.0,1.0,3.0,6.0
470000,112.0,0.0,4.0,8.0,1.0,0.0,14.0,1.0,2.0,6.0
480000,112.0,0.0,4.0,8.0,1.0,0.0,12.0,2.0,3.0,6.0
490000,112.0,0.0,2.0,8.0,1.0,0.0,10.0,3.0,5.0,6.0
500000,112.0,9.0,86.0,18.0,1.0,0.0,23.0,2.0,8.0,16.0
510000,112.0,3.0,36.0,13.0,0.0,0.0,8.0,1.0,0.0,8.0
520000,112.0,3.0,26.0,13.0,0.0,0.0,10.0,1.0,1.0,8.0
530000,112.0,2.0,21.0,12.0,1.0,0.0,10.0,3.0,2.0,8.0
540000,112.0,2.0,17.0,12.0,1.0,0.0,11.0,2.0,5.0,8.0
550000,112.0,1.0,11.0,12.0,1.0,0.0,12.0,1.0,7.0,8.0
560000,112.0,1.0,7.0,12.0,0.0,0.0,10.0,3.0,9.0,8.0
570000,112.0,1.0,6.0,12.0,0.0,0.0,10.0,0.0,12.0,8.0
580000,112.0,1.0,4.0,12.0,0.0,0.0,11.0,0.0,12.0,8.0
590000,112.0,0.0,2.0,11.0,0.0,0.0,11.0,1.0,11.0,8.0
600000,112.0,10.0,91.0,20.0,0.0,0.0,20.0,2.0,12.0,19.0
610000,112.0,4.0,40.0,9.0,1.0,0.0,12.0,0.0,0.0,8.0
620000,112.0,4.0,28.0,9.0,1.0,0.0,15.0,2.0,1.0,6.0
630000,112.0,4.0,22.0,9.0,1.0,0.0,16.0,0.0,4.0,6.0
640000,112.0,4.0,20.0,9.0,0.0,0.0,16.0,1.0,4.0,6.0
650000,112.0,1.0,16.0,9.0,1.0,0.0,12.0,2.0,5.0,6.0
660000,112.0,1.0,12.0,9.0,1.0,0.0,11.0,0.0,7.0,6.0
670000,112.0,0.0,7.0,9.0,1.0,0.0,13.0,2.0,7.0,6.0
680000,112.0,0.0,4.0,9.0,1.0,0.0,11.0,1.0,9.0,5.0
690000,112.0,0.0,2.0,9.0,1.0,0.0,10.0,1.0,10.0,5.0
700000,112.0,8.0,89.0,19.0,2.0,0.0,17.0,4.0,13.0,15.0
710000,112.0,2.0,29.0,10.0,3.0,0.0,11.0,1.0,1.0,6.0
720000,112.0,2.0,23.0,10.0,3.0,0.0,12.0,0.0,2.0,6.0
730000,112.0,2.0,22.0,10.0,2.0,0.0,9.0,3.0,2.0,6.0
740000,112.0,0.0,20.0,9.0,1.0,0.0,8.0,2.0,5.0,6.0
750000,112.0,0.0,14.0,9.0,1.0,0.0,8.0,2.0,7.0,6.0
760000,112.0,0.0,12.0,9.0,1.0,0.0,9.0,0.0,9.0,5.0
770000,112.0,0.0,9.0,9.0,1.0,0.0,9.0,0.0,10.0,5.0
780000,112.0,0.0,4.0,9.0,0.0,0.0,8.0,1.0,12.0,5.0
790000,112.0,0.0,2.0,8.0,0.0,0.0,7.0,1.0,13.0,5.0
800000,112.0,9.0,91.0,17.0,1.0,0.0,16.0,0.0,14.0,15.0
810000,112.0,4.0,41.0,11.0,1.0,0.0,10.0,1.0,2.0,8.0
820000,112.0,4.0,35.0,10.0,1.0,0.0,12.0,2.0,2.0,8.0
830000,112.0,3.0,31.0,10.0,0.0,0.0,13.0,0.0,5.0,8.0
840000,112.0,3.0,24.0,10.0,0.0,0.0,14.0,1.0,5.0,7.0
850000,112.0,3.0,17.0,10.0,0.0,0.0,14.0,2.0,6.0,7.0
860000,112.0,3.0,10.0,9.0,0.0,0.0,14.0,4.0,8.0,7.0
870000,112.0,2.0,8.0,9.0,0.0,0.0,10.0,4.0,13.0,7.0
880000,112.0,2.0,6.0,9.0,0.0,0.0,10.0,0.0,17.0,7.0
890000,112.0,0.0,5.0,8.0,0.0,0.0,10.0,0.0,16.0,7.0
900000,112.0,10.0,94.0,18.0,0.0,0.0,21.0,0.0,16.0,17.0
910000,112.0,4.0,39.0,10.0,0.0,0.0,7.0,0.0,1.0,8.0
920000,112.0,4.0,30.0,10.0,0.0,0.0,11.0,0.0,1.0,8.0
930000,112.0,3.0,25.0,10.0,0.0,0.0,12.0,1.0,1.0,7.0
940000,112.0,2.0,21.0,10.0,0.0,0.0,13.0,0.0,3.0,7.0
950000,112.0,1.0,15.0,10.0,1.0,0.0,15.0,2.0,3.0,6.0
960000,112.0,1.0,9.0,9.0,1.0,0.0,15.0,1.0,7.0,5.0
970000,112.0,1.0,5.0,9.0,1.0,0.0,15.0,1.0,8.0,5.0
980000,112.0,0.0,3.0,8.0,1.0,0.0,13.0,2.0,9.0,6.0
990000,112.0,0.0,2.0,7.0,1.0,0.0,11.0,2.0,11.0,6.0
1000000,112.0,10.0,82.0,16.0,0.0,0.0,28.0,2.0,14.0,16.0
