meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,5.400849e-09,0.0,0.0,0.0,0.0,0.0,1.1361685e-08,0.0,0.0,0.0,0.0,0.0
10000,1.677739e-08,3.1948635e-10,0.0,0.0,3.91821e-10,0.0,2.2669424e-08,3.2738667e-09,0.0,0.0,4.01497e-09,0.0
20000,2.1075552e-08,4.7992016e-10,4.969861e-10,8.1016076e-11,7.5938206e-10,0.0,2.821517e-08,3.9865156e-09,4.128288e-09,6.729702e-10,5.0982267e-09,0.0
30000,2.4945736e-08,5.066345e-10,0.0,0.0,6.2297006e-10,4.5275927e-10,3.22312e-08,4.1055674e-09,0.0,0.0,5.048236e-09,3.66868e-09
40000,2.8630451e-08,8.963751e-10,0.0,0.0,1.104521e-09,1.7797144e-18,3.518541e-08,5.4228617e-09,0.0,0.0,6.6821237e-09,2.4337224e-17
50000,3.2455908e-08,7.709712e-10,9.9235e-10,1.6198581e-10,1.2814922e-09,1.0550454e-17,3.7368554e-08,5.041002e-09,5.7863447e-09,9.445316e-10,6.4532477e-09,1.391694e-16
60000,3.6149782e-08,8.245541e-10,4.2720757e-10,6.9594316e-11,1.1617814e-09,1.1137252e-09,3.9012225e-08,5.197643e-09,3.832995e-09,6.2441274e-10,6.529199e-09,5.6966836e-09
70000,4.051176e-08,6.764402e-10,4.673479e-10,7.613338e-11,9.922309e-10,4.080198e-10,4.029704e-08,4.718645e-09,4.006685e-09,6.527079e-10,5.9626935e-09,3.4981296e-09
80000,4.4364647e-08,4.7004925e-14,2.4987232e-10,4.0787797e-11,8.365346e-11,8.686342e-10,4.1003766e-08,4.1999694e-13,2.9353349e-09,4.7914817e-10,9.827058e-10,5.0457736e-09
90000,4.7897725e-08,2.5645e-10,2.6513167e-10,4.327865e-11,4.0576947e-10,1.1523339e-09,4.134695e-08,2.9239324e-09,3.0229663e-09,4.9345256e-10,3.7459493e-09,5.782826e-09
100000,2.5873971e-08,7.1697357e-13,2.78974e-10,4.553818e-11,9.3396506e-11,4.896895e-10,3.8717992e-08,1.0874847e-11,3.1002523e-09,5.060683e-10,1.0379174e-09,3.8079095e-09
110000,4.5109033e-08,6.439521e-13,4.2668655e-14,4.0193282e-17,7.051506e-18,2.2323504e-10,4.270628e-08,5.628315e-12,3.5524136e-13,3.4458068e-16,4.8316768e-17,2.5158005e-09
120000,4.6398476e-08,1.1854102e-14,1.5759403e-16,1.8846359e-20,9.22912e-22,9.404238e-12,4.316269e-08,1.2235398e-13,1.7907117e-15,2.208522e-19,9.110373e-21,9.255574e-11
130000,5.0442637e-08,3.8330454e-12,1.179041e-17,2.327714e-22,3.170033e-15,1.2580859e-11,4.306542e-08,4.1236865e-11,8.167596e-17,1.8525063e-21,3.599161e-14,1.178129e-10
140000,5.155932e-08,4.7510997e-12,2.7134642e-10,4.4292996e-11,9.084566e-11,1.4941747e-11,4.331246e-08,4.248732e-11,3.0579104e-09,4.991567e-10,1.023742e-09,1.3678284e-10
150000,5.3558885e-08,2.7112515e-10,5.601976e-10,9.14436e-11,5.2244864e-10,1.762862e-11,4.328539e-08,3.0046723e-09,4.3752832e-09,7.141974e-10,3.976888e-09,1.5390103e-10
160000,5.5276217e-08,2.7811448e-10,2.4560566e-14,2.6309465e-17,3.4320635e-10,5.224507e-10,4.3158376e-08,3.0418008e-09,2.6615602e-13,2.8780912e-16,3.7596375e-09,3.8767607e-09
170000,5.546428e-08,2.82309e-10,2.8707228e-10,4.685543e-11,4.3938764e-10,5.214296e-10,4.352182e-08,3.0904557e-09,3.1444003e-09,5.132752e-10,3.896658e-09,3.8493355e-09
180000,5.8791148e-08,7.2460164e-13,6.0403926e-10,9.860006e-11,2.0222317e-10,8.109189e-10,4.2729383e-08,6.585721e-12,4.5403494e-09,7.4114187e-10,1.5200403e-09,4.810699e-09
190000,6.000236e-08,1.6123915e-13,9.236027e-10,1.5056086e-10,3.0872851e-10,1.6274485e-09,4.26935e-08,1.1144046e-12,5.5927063e-09,9.1169133e-10,1.8694444e-09,6.7646053e-09
200000,2.8900237e-08,3.6322313e-11,4.3674608e-10,7.1185974e-11,3.1180689e-10,8.980785e-10,4.1902208e-08,5.480386e-10,3.8731245e-09,6.3137595e-10,2.8589004e-09,5.0994378e-09
210000,4.8376062e-08,8.5017936e-13,1.6789247e-16,5.111459e-21,9.586619e-18,2.5371663e-10,4.5267445e-08,6.7020343e-12,1.1380434e-15,3.8552032e-20,1.0424998e-16,2.5706426e-09
220000,4.8703388e-08,2.4766365e-12,2.4750832e-10,4.0216955e-11,8.2471335e-11,2.2578358e-11,4.555775e-08,2.4671053e-11,2.9145162e-09,4.7576154e-10,9.75761e-10,1.8546376e-10
230000,5.1472558e-08,7.2807916e-13,1.8525635e-14,6.192172e-17,7.0018035e-18,2.4972305e-10,4.5414154e-08,4.4005064e-12,2.0971732e-13,7.13982e-16,6.2387894e-17,2.6024702e-09
240000,5.1908092e-08,4.3045935e-13,5.223679e-10,8.52559e-11,1.7485463e-10,2.6309535e-10,4.5622773e-08,3.3778787e-12,4.2269876e-09,6.899919e-10,1.4151345e-09,2.6143896e-09
250000,5.2174606e-08,2.3619644e-12,1.0460264e-09,1.7052271e-10,3.4971145e-10,7.063922e-10,4.5640373e-08,1.4700694e-11,5.9318346e-09,9.683165e-10,1.9859663e-09,4.488688e-09
260000,5.303719e-08,6.4934007e-13,5.3165383e-10,8.659488e-11,1.7754583e-10,1.6532944e-09,4.574209e-08,4.646922e-12,4.2690904e-09,6.954564e-10,1.4259035e-09,6.829665e-09
270000,5.4009348e-08,1.5841217e-12,1.0784046e-09,1.7583689e-10,3.60575e-10,2.3686266e-09,4.5719453e-08,1.17260125e-11,6.0278142e-09,9.829547e-10,2.0156747e-09,8.077512e-09
