meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,4.469173e-09,0.0,0.0,0.0,0.0,0.0,8.0439895e-09,0.0,0.0,0.0,0.0,0.0
10000,1.21929915e-08,0.0,0.0,0.0,0.0,0.0,1.4981245e-08,0.0,0.0,0.0,0.0,0.0
20000,1.5418713e-08,1.4799299e-10,4.1178785e-10,7.631896e-11,2.8539046e-10,0.0,1.8659966e-08,2.2248228e-09,4.36767e-09,8.094847e-10,2.9507683e-09,0.0
30000,1.8389525e-08,9.375197e-10,2.1738567e-10,4.028931e-11,1.213003e-09,4.431742e-10,2.1228674e-08,5.533219e-09,3.1800778e-09,5.8938177e-10,6.876415e-09,4.573499e-09
40000,2.0787205e-08,1.3162913e-09,2.2798984e-10,4.225464e-11,1.6774233e-09,2.3571584e-10,2.3037972e-08,6.5320704e-09,3.2563454e-09,6.0351707e-10,8.071825e-09,3.3666936e-09
50000,2.3398867e-08,1.3997683e-09,2.434267e-10,4.5115633e-11,1.7908937e-09,2.4813065e-10,2.4316904e-08,6.713048e-09,3.3642238e-09,6.2351047e-10,8.327909e-09,3.4292342e-09
60000,2.5697506e-08,1.493214e-09,5.1644106e-10,9.5714936e-11,1.9641417e-09,2.6321043e-10,2.5259517e-08,6.9181496e-09,4.8857625e-09,9.0550567e-10,8.594473e-09,3.5313383e-09
70000,2.8307754e-08,1.590272e-09,5.544678e-10,1.0255526e-10,2.1034454e-09,5.6379984e-10,2.58138e-08,7.134091e-09,5.0666498e-09,9.371329e-10,8.877643e-09,5.151909e-09
80000,3.027727e-08,1.4606364e-09,5.8059524e-10,1.0760499e-10,1.9500088e-09,1.4796745e-09,2.6253502e-08,6.850948e-09,5.1767484e-09,9.59436e-10,8.535716e-09,8.264228e-09
90000,3.3465536e-08,1.3656183e-09,3.1734554e-10,5.857863e-11,1.7622201e-09,1.9359967e-09,2.6192362e-08,6.643545e-09,3.8476107e-09,7.102282e-10,8.229783e-09,9.41845e-09
100000,1.931205e-08,3.9961254e-10,3.5814593e-10,6.637702e-11,5.6674226e-10,9.1291863e-10,2.6066306e-08,3.582156e-09,4.0756203e-09,7.553578e-10,4.531837e-09,6.5304606e-09
110000,3.1417574e-08,2.284245e-13,3.685155e-18,3.7613652e-23,1.0709377e-18,5.881884e-10,2.7342358e-08,2.0165365e-12,2.9486534e-17,3.8358355e-22,1.3500408e-17,5.2606746e-09
120000,3.2535752e-08,3.5797043e-13,9.752861e-16,5.5243314e-19,2.0333154e-18,4.0046272e-17,2.7477713e-08,3.8628003e-12,9.015182e-15,6.41637e-18,2.5405122e-17,2.3246388e-16
