mcsteps,1,2,3,4,5,6,7,8,9,10
0,92.0,105.0,147.0,18.0,1.0,0.0,16.0,0.0,0.0,12.0
10000,92.0,52.0,62.0,8.0,1.0,0.0,7.0,2.0,0.0,7.0
20000,92.0,44.0,49.0,8.0,6.0,0.0,10.0,1.0,2.0,6.0
30000,92.0,37.0,41.0,8.0,8.0,0.0,13.0,1.0,1.0,5.0
40000,92.0,30.0,30.0,8.0,8.0,0.0,18.0,1.0,1.0,5.0
50000,92.0,26.0,18.0,8.0,8.0,0.0,25.0,2.0,1.0,5.0
60000,92.0,19.0,14.0,7.0,8.0,0.0,21.0,2.0,2.0,5.0
70000,92.0,14.0,11.0,7.0,7.0,0.0,18.0,2.0,5.0,5.0
80000,92.0,7.0,7.0,7.0,6.0,0.0,18.0,1.0,6.0,5.0
90000,92.0,0.0,4.0,7.0,3.0,0.0,14.0,3.0,5.0,5.0
100000,92.0,10.0,90.0,17.0,0.0,0.0,26.0,1.0,4.0,15.0
110000,92.0,2.0,39.0,11.0,0.0,0.0,9.0,0.0,0.0,7.0
120000,92.0,2.0,28.0,11.0,0.0,0.0,12.0,1.0,0.0,7.0
130000,92.0,2.0,22.0,11.0,0.0,0.0,14.0,2.0,2.0,7.0
140000,92.0,2.0,14.0,11.0,0.0,0.0,17.0,0.0,5.0,7.0
150000,92.0,1.0,13.0,11.0,0.0,0.0,12.0,3.0,6.0,7.0
160000,92.0,1.0,10.0,11.0,0.0,0.0,12.0,2.0,7.0,7.0
170000,92.0,1.0,8.0,11.0,0.0,0.0,14.0,0.0,9.0,7.0
180000,92.0,0.0,5.0,10.0,0.0,0.0,16.0,0.0,6.0,8.0
190000,92.0,0.0,3.0,10.0,0.0,0.0,15.0,3.0,5.0,8.0
200000,92.0,10.0,90.0,20.0,0.0,0.0,26.0,2.0,5.0,18.0
210000,92.0,6.0,32.0,9.0,1.0,0.0,10.0,0.0,1.0,8.0
220000,92.0,5.0,23.0,9.0,1.0,0.0,13.0,1.0,1.0,8.0
230000,92.0,4.0,17.0,9.0,1.0,0.0,13.0,1.0,4.0,8.0
240000,92.0,2.0,13.0,8.0,1.0,0.0,12.0,3.0,5.0,8.0
250000,92.0,2.0,12.0,8.0,1.0,0.0,10.0,2.0,8.0,8.0
260000,92.0,1.0,10.0,8.0,1.0,0.0,11.0,0.0,9.0,8.0
270000,92.0,1.0,5.0,8.0,0.0,0.0,12.0,2.0,9.0,8.0
280000,92.0,1.0,3.0,8.0,0.0,0.0,10.0,2.0,11.0,8.0
290000,92.0,1.0,2.0,6.0,0.0,0.0,10.0,0.0,10.0,8.0
300000,92.0,9.0,86.0,16.0,2.0,0.0,25.0,1.0,9.0,18.0
310000,92.0,4.0,37.0,11.0,3.0,0.0,10.0,1.0,5.0,10.0
320000,92.0,3.0,26.0,10.0,4.0,0.0,18.0,1.0,3.0,10.0
330000,92.0,2.0,19.0,10.0,5.0,0.0,18.0,2.0,2.0,10.0
340000,92.0,2.0,14.0,10.0,3.0,0.0,21.0,0.0,4.0,10.0
350000,92.0,2.0,10.0,9.0,3.0,0.0,20.0,2.0,4.0,10.0
360000,92.0,1.0,9.0,8.0,0.0,0.0,13.0,5.0,7.0,11.0
370000,92.0,1.0,6.0,8.0,0.0,0.0,13.0,0.0,11.0,11.0
380000,92.0,0.0,4.0,8.0,0.0,0.0,10.0,4.0,10.0,10.0
390000,92.0,0.0,2.0,8.0,0.0,0.0,8.0,2.0,14.0,10.0
400000,92.0,9.0,87.0,18.0,1.0,0.0,22.0,1.0,16.0,20.0
410000,92.0,5.0,30.0,9.0,0.0,0.0,7.0,2.0,1.0,9.0
420000,92.0,4.0,23.0,9.0,0.0,0.0,11.0,2.0,3.0,9.0
430000,92.0,3.0,17.0,9.0,0.0,0.0,14.0,0.0,5.0,9.0
440000,92.0,2.0,15.0,9.0,0.0,0.0,14.0,1.0,4.0,8.0
450000,92.0,1.0,9.0,9.0,0.0,0.0,12.0,2.0,5.0,8.0
460000,92.0,1.0,4.0,9.0,0.0,0.0,16.0,0.0,7.0,7.0
470000,92.0,0.0,2.0,9.0,0.0,0.0,11.0,4.0,9.0,7.0
480000,92.0,0.0,1.0,8.0,0.0,0.0,10.0,1.0,13.0,7.0
490000,92.0,0.0,0.0,8.0,0.0,0.0,9.0,0.0,15.0,7.0
500000,92.0,10.0,82.0,18.0,0.0,0.0,24.0,2.0,16.0,16.0
510000,92.0,3.0,34.0,7.0,0.0,0.0,13.0,1.0,2.0,9.0
520000,92.0,2.0,25.0,7.0,0.0,0.0,17.0,1.0,3.0,9.0
530000,92.0,1.0,19.0,7.0,0.0,0.0,18.0,2.0,4.0,9.0
540000,92.0,0.0,13.0,7.0,0.0,0.0,20.0,1.0,6.0,9.0
550000,92.0,0.0,10.0,7.0,0.0,0.0,18.0,3.0,7.0,9.0
560000,92.0,0.0,7.0,7.0,0.0,0.0,15.0,3.0,9.0,9.0
570000,92.0,0.0,4.0,7.0,0.0,0.0,17.0,0.0,11.0,9.0
580000,92.0,0.0,3.0,7.0,0.0,0.0,10.0,5.0,10.0,9.0
590000,92.0,0.0,3.0,7.0,0.0,0.0,10.0,0.0,15.0,9.0
600000,92.0,9.0,86.0,17.0,1.0,0.0,26.0,1.0,15.0,19.0
610000,92.0,5.0,33.0,6.0,2.0,0.0,9.0,1.0,0.0,5.0
620000,92.0,2.0,27.0,6.0,4.0,0.0,14.0,0.0,1.0,5.0
630000,92.0,2.0,17.0,6.0,3.0,0.0,18.0,0.0,1.0,5.0
640000,92.0,2.0,12.0,6.0,1.0,0.0,17.0,3.0,2.0,5.0
650000,92.0,1.0,10.0,6.0,1.0,0.0,14.0,3.0,5.0,5.0
660000,92.0,1.0,6.0,6.0,1.0,0.0,11.0,1.0,8.0,5.0
670000,92.0,0.0,2.0,6.0,1.0,0.0,11.0,0.0,9.0,5.0
680000,92.0,0.0,2.0,6.0,0.0,0.0,9.0,2.0,9.0,5.0
690000,92.0,0.0,1.0,6.0,0.0,0.0,9.0,0.0,11.0,5.0
700000,92.0,8.0,87.0,16.0,2.0,0.0,23.0,0.0,10.0,15.0
710000,92.0,3.0,30.0,7.0,0.0,0.0,18.0,0.0,0.0,10.0
720000,92.0,2.0,19.0,7.0,0.0,0.0,15.0,1.0,2.0,10.0
730000,92.0,2.0,13.0,7.0,0.0,0.0,14.0,3.0,3.0,10.0
740000,92.0,1.0,10.0,6.0,0.0,0.0,10.0,1.0,7.0,10.0
750000,92.0,1.0,9.0,6.0,0.0,0.0,7.0,4.0,8.0,10.0
760000,92.0,1.0,7.0,6.0,0.0,0.0,8.0,0.0,12.0,10.0
770000,92.0,1.0,4.0,6.0,0.0,0.0,8.0,2.0,11.0,10.0
780000,92.0,1.0,4.0,6.0,0.0,0.0,5.0,3.0,13.0,10.0
790000,92.0,0.0,4.0,6.0,1.0,0.0,4.0,1.0,16.0,10.0
800000,92.0,10.0,88.0,16.0,0.0,0.0,18.0,1.0,17.0,20.0
810000,92.0,2.0,34.0,11.0,1.0,0.0,8.0,1.0,1.0,10.0
820000,92.0,2.0,25.0,11.0,1.0,0.0,13.0,0.0,2.0,10.0
830000,92.0,1.0,18.0,11.0,1.0,0.0,17.0,1.0,2.0,10.0
840000,92.0,1.0,11.0,11.0,1.0,0.0,17.0,2.0,2.0,10.0
850000,92.0,1.0,9.0,11.0,1.0,0.0,14.0,2.0,5.0,9.0
860000,92.0,0.0,8.0,10.0,1.0,0.0,12.0,3.0,7.0,10.0
870000,92.0,0.0,6.0,9.0,1.0,0.0,6.0,5.0,11.0,11.0
880000,92.0,0.0,2.0,8.0,1.0,0.0,8.0,0.0,16.0,12.0
890000,92.0,0.0,2.0,8.0,0.0,0.0,6.0,1.0,17.0,12.0
900000,92.0,10.0,84.0,18.0,0.0,0.0,23.0,1.0,18.0,22.0
