mcsteps,1,2,3,4,5,6,7,8,9,10
0,111.0,114.0,148.0,19.0,3.0,0.0,20.0,0.0,0.0,12.0
10000,111.0,55.0,63.0,11.0,2.0,0.0,12.0,2.0,0.0,5.0
20000,111.0,47.0,49.0,11.0,2.0,0.0,19.0,1.0,2.0,5.0
30000,111.0,38.0,38.0,11.0,3.0,0.0,23.0,2.0,2.0,5.0
40000,111.0,33.0,25.0,11.0,5.0,0.0,25.0,2.0,2.0,5.0
50000,111.0,25.0,21.0,9.0,7.0,0.0,21.0,3.0,3.0,5.0
60000,111.0,17.0,15.0,9.0,7.0,0.0,21.0,2.0,2.0,5.0
70000,111.0,12.0,14.0,9.0,7.0,0.0,20.0,2.0,4.0,5.0
80000,111.0,8.0,13.0,9.0,3.0,0.0,17.0,3.0,4.0,5.0
90000,111.0,2.0,9.0,9.0,2.0,0.0,15.0,2.0,5.0,5.0
100000,111.0,12.0,99.0,18.0,0.0,0.0,23.0,2.0,5.0,15.0
110000,111.0,4.0,40.0,12.0,0.0,0.0,11.0,2.0,0.0,11.0
120000,111.0,3.0,30.0,12.0,0.0,0.0,15.0,0.0,2.0,10.0
130000,111.0,3.0,26.0,12.0,0.0,0.0,16.0,1.0,2.0,10.0
140000,111.0,2.0,25.0,12.0,0.0,0.0,15.0,1.0,3.0,10.0
150000,111.0,2.0,21.0,12.0,0.0,0.0,16.0,0.0,2.0,10.0
160000,111.0,1.0,15.0,11.0,0.0,0.0,17.0,0.0,2.0,10.0
170000,111.0,1.0,12.0,11.0,0.0,0.0,17.0,2.0,2.0,10.0
180000,111.0,1.0,9.0,10.0,0.0,0.0,14.0,3.0,3.0,9.0
190000,111.0,0.0,8.0,9.0,0.0,0.0,11.0,2.0,6.0,9.0
200000,111.0,10.0,96.0,19.0,0.0,0.0,21.0,1.0,8.0,19.0
210000,111.0,10.0,42.0,10.0,0.0,0.0,10.0,0.0,0.0,6.0
220000,111.0,9.0,34.0,10.0,0.0,0.0,9.0,5.0,0.0,6.0
230000,111.0,9.0,26.0,10.0,0.0,0.0,10.0,1.0,5.0,6.0
240000,111.0,6.0,19.0,10.0,1.0,0.0,14.0,1.0,6.0,6.0
250000,111.0,5.0,16.0,10.0,1.0,0.0,15.0,0.0,7.0,6.0
260000,111.0,5.0,11.0,10.0,1.0,0.0,17.0,2.0,7.0,5.0
270000,111.0,3.0,9.0,10.0,2.0,0.0,15.0,2.0,9.0,5.0
280000,111.0,2.0,6.0,10.0,0.0,0.0,13.0,1.0,12.0,5.0
290000,111.0,0.0,1.0,10.0,0.0,0.0,12.0,2.0,9.0,5.0
300000,111.0,9.0,90.0,20.0,1.0,0.0,22.0,1.0,10.0,15.0
310000,111.0,2.0,33.0,10.0,0.0,0.0,7.0,1.0,1.0,11.0
320000,111.0,2.0,28.0,10.0,0.0,0.0,7.0,1.0,1.0,10.0
330000,111.0,2.0,16.0,10.0,0.0,0.0,13.0,0.0,3.0,10.0
340000,111.0,2.0,14.0,10.0,0.0,0.0,12.0,1.0,3.0,10.0
350000,111.0,1.0,9.0,9.0,0.0,0.0,13.0,2.0,4.0,10.0
360000,111.0,0.0,7.0,9.0,0.0,0.0,13.0,0.0,6.0,9.0
370000,111.0,0.0,5.0,9.0,0.0,0.0,10.0,2.0,7.0,9.0
380000,111.0,0.0,3.0,9.0,0.0,0.0,7.0,2.0,9.0,9.0
390000,111.0,0.0,3.0,9.0,0.0,0.0,6.0,1.0,11.0,9.0
400000,111.0,9.0,96.0,18.0,1.0,0.0,10.0,2.0,13.0,20.0
410000,111.0,4.0,37.0,7.0,1.0,0.0,6.0,2.0,2.0,9.0
420000,111.0,4.0,32.0,7.0,1.0,0.0,8.0,1.0,4.0,9.0
430000,111.0,4.0,20.0,6.0,1.0,0.0,14.0,2.0,3.0,9.0
440000,111.0,3.0,19.0,6.0,2.0,0.0,13.0,2.0,5.0,8.0
450000,111.0,3.0,16.0,6.0,2.0,0.0,15.0,0.0,7.0,8.0
